annotation_category,annotation,entity,sentence,entity_atomized,sentiment,tsc_sentiment,blame,praise
blame,"new arms deliveries to Kiev are aimed at ""prolonging the conflict.",US,"Speaking to the Rossiya-1 state television channel on Sunday, Russian President Vladimir Putin warned the US that his country would strike new targets if advanced rocket systems were supplied to Ukraine, adding that the new arms deliveries to Kiev are aimed at ""prolonging the conflict.",US,-1,0,1,0
blame,has been sending more advanced and heavier weapons to Ukraine and escalating the situation,US,"From the beginning, the US has been sending more advanced and heavier weapons to Ukraine and escalating the situation.",US,-1,0,1,0
blame,clearly knows that a prolonged conflict between Russia and Ukraine serves its interests,US,The US clearly knows that a prolonged conflict between Russia and Ukraine serves its interests.,US,1,0,1,0
blame,"has put its national interests into consideration, and its military aid to Ukraine is tailored to its strategic goal of fighting for global power",US,"The US has put its national interests into consideration, and its military aid to Ukraine is tailored to its strategic goal of fighting for global power,"" said Xu.Selfishness has always been the hallmark of American foreign policy, and the ongoing Ukraine conflict is the best display of this.",US,1,0,1,0
blame,"With self-interests in mind, the US will not shoulder any responsibility for the development of countries it boasts as ""allies"" or ""partners,"" nor does it care about the well-being of people in these countries",US,"With self-interests in mind, the US will not shoulder any responsibility for the development of countries it boasts as ""allies"" or ""partners,"" nor does it care about the well-being of people in these countries.",US,-1,0,1,0
blame,"Selfishness has always been the hallmark of American foreign policy,",American foreign policy,"The US has put its national interests into consideration, and its military aid to Ukraine is tailored to its strategic goal of fighting for global power,"" said Xu.Selfishness has always been the hallmark of American foreign policy, and the ongoing Ukraine conflict is the best display of this.",American,1,0,1,0
blame,"despite holding the key to solving the crisis, keeps escalating tensions between Russia and Ukraine and creating more obstacles to a peaceful settlement",US,"As the Ukraine crisis drags on, the US, despite holding the key to solving the crisis, keeps escalating tensions between Russia and Ukraine and creating more obstacles to a peaceful settlement.",US,-1,-1,1,0
blame,"calculates carefully - it wants to behave like an ""onlooker"" during the crisis and see other countries be consumed of their resource",US,"From the US withdrawal from Syria, its debacle in Afghanistan, to its current calculations in Ukraine, the US has always wanted to control the situation from behind the scenes and reap the benefits for nothing, which only makes itself less and less trusted and dragged down from the altar of global hegemony it once placed itself on.The US calculates carefully - it wants to behave like an ""onlooker"" during the crisis and see other countries be consumed of their resources.",US,1,-1,1,0
blame,"has always wanted to control the situation from behind the scenes and reap the benefits for nothing, which only makes itself less and less trusted and dragged down from the altar of global hegemony it once placed itself on.",US,"From the US withdrawal from Syria, its debacle in Afghanistan, to its current calculations in Ukraine, the US has always wanted to control the situation from behind the scenes and reap the benefits for nothing, which only makes itself less and less trusted and dragged down from the altar of global hegemony it once placed itself on.The US calculates carefully - it wants to behave like an ""onlooker"" during the crisis and see other countries be consumed of their resources.",US,1,-1,1,0
blame,"pushes forward its foreign policy and ignores the security concerns of other countries; on the other, when its strength is not enough to sustain global order, it only brings turbulence to the world and falls victim to it.",US,"On the one hand, the US pushes forward its foreign policy and ignores the security concerns of other countries; on the other, when its strength is not enough to sustain global order, it only brings turbulence to the world and falls victim to it.",US,1,-1,1,0
blame,acts like the world policeman,US,"Song said that when the US no long acts like the world policeman, it means Washington is not a global hegemon any more, and the world will not be a unipolar one.",US,1,-1,1,0
blame,not trigger World War III,Washington,Washington needs to take seriously Putin's warning and not trigger World War III.,Washington,0,0,1,0
blame,"is attempting to defeat Russia in its ""surrogate war"" with Ukraine",US,"A New York Times article earlier this month documented how the US is attempting to defeat Russia in its ""surrogate war"" with Ukraine by ultimately starving it of needed technology for its military production, in particular, restricting Russia from access to semiconductors needed for most of their weapons.",US,-1,-1,1,0
blame,"ultimately starving it of needed technology for its military production, in particular, restricting Russia from access to semiconductors needed for most of their weapons",US,"A New York Times article earlier this month documented how the US is attempting to defeat Russia in its ""surrogate war"" with Ukraine by ultimately starving it of needed technology for its military production, in particular, restricting Russia from access to semiconductors needed for most of their weapons.",US,-1,-1,1,0
blame,"Even areas such as aeronautics and astronautics and nuclear power have been contentious issues between the US and the Latin American countries precisely because of their technological value.Such a policy, if consistently applied, would lead mankind into a New Dark Age.",the US,"Even areas such as aeronautics and astronautics and nuclear power have been contentious issues between the US and the Latin American countries precisely because of their technological value.Such a policy, if consistently applied, would lead mankind into a New Dark Age.",US,-1,0,1,0
praise,"which has been the engine of production for the world economy for the last several decades,",China,"Trying to ""decouple"" from Russia, which contains some of the world's most important raw materials, or China, which has been the engine of production for the world economy for the last several decades, will lead to conditions of starvation and epidemic disease in countries in Africa and Asia which have become dependent on that global system.More importantly, undermining China's Belt and Road Initiative, the only serious initiative taken over the last 50 years in dealing with the endemic problem of poverty and underdevelopment, will throw these countries into conditions of destitution similar to the Dark Ages of the 14th Century.",China,-1,0,0,1
praise,"the only serious initiative taken over the last 50 years in dealing with the endemic problem of poverty and underdevelopment,",China's Belt and Road Initiative,"Trying to ""decouple"" from Russia, which contains some of the world's most important raw materials, or China, which has been the engine of production for the world economy for the last several decades, will lead to conditions of starvation and epidemic disease in countries in Africa and Asia which have become dependent on that global system.More importantly, undermining China's Belt and Road Initiative, the only serious initiative taken over the last 50 years in dealing with the endemic problem of poverty and underdevelopment, will throw these countries into conditions of destitution similar to the Dark Ages of the 14th Century.",China,-1,0,0,1
blame,"promise prosperity for those prepared to ""worship"" at the altar of US hegemony, the US has not built a railroad, anywhere, not even in the US, since the World War II",US IPEF and the Big Back Better World,"And while the US IPEF and the Big Back Better World promise prosperity for those prepared to ""worship"" at the altar of US hegemony, the US has not built a railroad, anywhere, not even in the US, since the World War II.",US,1,0,1,0
blame,"promise prosperity for those prepared to ""worship"" at the altar of US hegemony, the US has not built a railroad, anywhere, not even in the US, since the World War II",US IPEF and the Big Back Better World,"And while the US IPEF and the Big Back Better World promise prosperity for those prepared to ""worship"" at the altar of US hegemony, the US has not built a railroad, anywhere, not even in the US, since the World War II.",the Big Back Better World,1,1,1,0
blame,"Unfortunately over the course of the last fifty years and in spite of the commitment of president Franklin Roosevelt to improving the conditions of life in Africa, the US has not succeeded in industrializing these countries.",the US,"It is in no shape to industrialize Africa, if it even had the will to do so.Unfortunately over the course of the last fifty years and in spite of the commitment of president Franklin Roosevelt to improving the conditions of life in Africa, the US has not succeeded in industrializing these countries.",US,-1,-1,1,0
blame,many countries of neighboring Latin America were relegated from a state of relative prosperity to a state of total penury through manipulation of the terms of trade by the London-Wall Street banks,under US policies during the 1970s,"In fact, under US policies during the 1970s many countries of neighboring Latin America were relegated from a state of relative prosperity to a state of total penury through manipulation of the terms of trade by the London-Wall Street banks.",US,-1,-1,1,0
praise,"were largely done through their own efforts and not ""by the grace"" of the US","the gains made by the Asian ""tigers"" and by the US","And the gains made by the Asian ""tigers"" and by the US were largely done through their own efforts and not ""by the grace"" of the US.",US,0,-1,0,1
praise,"were largely done through their own efforts and not ""by the grace"" of the US","the gains made by the Asian ""tigers"" and by the US","And the gains made by the Asian ""tigers"" and by the US were largely done through their own efforts and not ""by the grace"" of the US.",Asian,0,-1,0,1
praise,which contains some of the world's most important raw materials,Russia,"Trying to ""decouple"" from Russia, which contains some of the world's most important raw materials, or China, which has been the engine of production for the world economy for the last several decades, will lead to conditions of starvation and epidemic disease in countries in Africa and Asia which have become dependent on that global system.More importantly, undermining China's Belt and Road Initiative, the only serious initiative taken over the last 50 years in dealing with the endemic problem of poverty and underdevelopment, will throw these countries into conditions of destitution similar to the Dark Ages of the 14th Century.",Russia,-1,-1,0,1
praise,"Other countries, on their own, may well develop the technologies from which they are being restricted, and this may very well happen in the case of Russia today",Russia,"Other countries, on their own, may well develop the technologies from which they are being restricted, and this may very well happen in the case of Russia today.",Russia,1,-1,0,1
praise,are seeking a path of autonomy rather than blindly following the US on every issue,the countries in the region,"Guo said the US has failed to receive support from most Latin American countries for its sanctions and accusations against Russia after the Russia-Ukraine conflict began, which proves that the countries in the region are seeking a path of autonomy rather than blindly following the US on every issue.Washington has always used China's rising influence as a pretext to scare and pressure countries in the region, and to mobilize its internal resources to compete with China there, but in fact, this offends Latin American countries, because compared to the US hegemonic approach in the region that only serves US interests, most countries have found the China-proposed Belt and Road Initiative and other cooperation with China to be truly mutually beneficial and does not disrespect the region's countries, said analysts.",the countries in the region,1,-1,0,1
blame,has failed to receive support from most Latin American countries for its sanctions and accusations against Russia after the Russia-Ukraine conflict began,US,"Guo said the US has failed to receive support from most Latin American countries for its sanctions and accusations against Russia after the Russia-Ukraine conflict began, which proves that the countries in the region are seeking a path of autonomy rather than blindly following the US on every issue.Washington has always used China's rising influence as a pretext to scare and pressure countries in the region, and to mobilize its internal resources to compete with China there, but in fact, this offends Latin American countries, because compared to the US hegemonic approach in the region that only serves US interests, most countries have found the China-proposed Belt and Road Initiative and other cooperation with China to be truly mutually beneficial and does not disrespect the region's countries, said analysts.",US,1,-1,1,0
blame,"has always used China's rising influence as a pretext to scare and pressure countries in the region, and to mobilize its internal resources to compete with China there",Washington,"Guo said the US has failed to receive support from most Latin American countries for its sanctions and accusations against Russia after the Russia-Ukraine conflict began, which proves that the countries in the region are seeking a path of autonomy rather than blindly following the US on every issue.Washington has always used China's rising influence as a pretext to scare and pressure countries in the region, and to mobilize its internal resources to compete with China there, but in fact, this offends Latin American countries, because compared to the US hegemonic approach in the region that only serves US interests, most countries have found the China-proposed Belt and Road Initiative and other cooperation with China to be truly mutually beneficial and does not disrespect the region's countries, said analysts.",Washington,1,-1,1,0
blame,that only serves US interests,US hegemonic approach in the region,"Guo said the US has failed to receive support from most Latin American countries for its sanctions and accusations against Russia after the Russia-Ukraine conflict began, which proves that the countries in the region are seeking a path of autonomy rather than blindly following the US on every issue.Washington has always used China's rising influence as a pretext to scare and pressure countries in the region, and to mobilize its internal resources to compete with China there, but in fact, this offends Latin American countries, because compared to the US hegemonic approach in the region that only serves US interests, most countries have found the China-proposed Belt and Road Initiative and other cooperation with China to be truly mutually beneficial and does not disrespect the region's countries, said analysts.",US,1,-1,1,0
praise,"to be truly mutually beneficial and does not disrespect the region's countries,",China-proposed Belt and Road Initiative and other cooperation with China,"Guo said the US has failed to receive support from most Latin American countries for its sanctions and accusations against Russia after the Russia-Ukraine conflict began, which proves that the countries in the region are seeking a path of autonomy rather than blindly following the US on every issue.Washington has always used China's rising influence as a pretext to scare and pressure countries in the region, and to mobilize its internal resources to compete with China there, but in fact, this offends Latin American countries, because compared to the US hegemonic approach in the region that only serves US interests, most countries have found the China-proposed Belt and Road Initiative and other cooperation with China to be truly mutually beneficial and does not disrespect the region's countries, said analysts.",Belt,1,-1,0,1
praise,"to be truly mutually beneficial and does not disrespect the region's countries,",China-proposed Belt and Road Initiative and other cooperation with China,"Guo said the US has failed to receive support from most Latin American countries for its sanctions and accusations against Russia after the Russia-Ukraine conflict began, which proves that the countries in the region are seeking a path of autonomy rather than blindly following the US on every issue.Washington has always used China's rising influence as a pretext to scare and pressure countries in the region, and to mobilize its internal resources to compete with China there, but in fact, this offends Latin American countries, because compared to the US hegemonic approach in the region that only serves US interests, most countries have found the China-proposed Belt and Road Initiative and other cooperation with China to be truly mutually beneficial and does not disrespect the region's countries, said analysts.",China,1,-1,0,1
