author_name,author_title,author_description
Shan Jie,"Reporter, Beijing","In-Depth editor & reporter writing both features and breaking news about ethnics, religions, social issues and environment."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Zhao Yusha,"Reporter, Beijing","Global Times reporter covering international affairs, politics and society."
Zhao Yusha,"Reporter, Beijing","Global Times reporter covering international affairs, politics and society."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Zhao Yusha,"Reporter, Beijing","Global Times reporter covering international affairs, politics and society."
Bradley Blankenship,Author title not found,"Bradley Blankenship is a Prague-based American journalist, columnist and political                    commentator."
Wang Qi,"Reporter, Beijing","Global Times reporter covering international affairs, cross-Straits relations and Chinese society; a captive of his experiences."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Chen Qingqing,"Reporter, Beijing","Chen Qingqing co-leads the Global Times China desk. She covers diplomacy, Hong Kong affairs and Chinese tech firms."
Ding Gang,Author title not found,"Ding Gang is a senior editor with People's Daily, and a senior fellow with the Chongyang Institute for Financial Studies."
Author name not found,Author title not found,Author description not found
Zhao Yusha,"Reporter, Beijing","Global Times reporter covering international affairs, politics and society."
Andrey Kortunov,Author title not found,"Andrey Kortunov, academic director of the Russian International Affairs Council."
Chen Qingqing,"Reporter, Beijing","Chen Qingqing co-leads the Global Times China desk. She covers diplomacy, Hong Kong affairs and Chinese tech firms."
Ding Gang,Author title not found,"Ding Gang is a senior editor with People's Daily, and a senior fellow with the Chongyang Institute for Financial Studies."
Wang Cong,"Reporter, Beijing",Wang Cong co-leads GT’s business desk. He covers China’s macroeconomic policies and global trade.
Deng Xiaoci,"Reporter, Beijing",Global Times reporter tracking China's space programs and cutting-edge science and technology projects.
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Deng Xiaoci,"Reporter, Beijing",Global Times reporter tracking China's space programs and cutting-edge science and technology projects.
Deng Xiaoci,"Reporter, Beijing",Global Times reporter tracking China's space programs and cutting-edge science and technology projects.
Deng Xiaoci,"Reporter, Beijing",Global Times reporter tracking China's space programs and cutting-edge science and technology projects.
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Wang Qi,"Reporter, Beijing","Global Times reporter covering international affairs, cross-Straits relations and Chinese society; a captive of his experiences."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Hu Xijin,Global Times commentator,Hu Xijin is the former editor-in-chief of the Global Times. Previously he worked as a reporter in the People's Daily and covered the Bosnian war in the 1990s.
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Vitaly Podvitski,Author title not found,"Vitaly Podvitski is a cartoonist from Russia. His works can also be seen in mainstream Russian media, including Sputnik News, RIA Novosti and Channel One Russia."
Liu Xin,"Reporter, Beijing","Liu Xin co-leads the Global Times China desk. She covers topics on China’s Xinjiang region, religious fields, border areas and diplomacy."
Liu Caiyu,"Reporter, Beijing","Global Times reporter on society, artificial intelligence and diplomatic relations."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Chen Qingqing,"Reporter, Beijing","Chen Qingqing co-leads the Global Times China desk. She covers diplomacy, Hong Kong affairs and Chinese tech firms."
Chen Qingqing,"Reporter, Beijing","Chen Qingqing co-leads the Global Times China desk. She covers diplomacy, Hong Kong affairs and Chinese tech firms."
Deng Xiaoci,"Reporter, Beijing",Global Times reporter tracking China's space programs and cutting-edge science and technology projects.
Chen Qingqing,"Reporter, Beijing","Chen Qingqing co-leads the Global Times China desk. She covers diplomacy, Hong Kong affairs and Chinese tech firms."
Deng Xiaoci,"Reporter, Beijing",Global Times reporter tracking China's space programs and cutting-edge science and technology projects.
Liu Xin,"Reporter, Beijing","Liu Xin co-leads the Global Times China desk. She covers topics on China’s Xinjiang region, religious fields, border areas and diplomacy."
Liu Xin,"Reporter, Beijing","Liu Xin co-leads the Global Times China desk. She covers topics on China’s Xinjiang region, religious fields, border areas and diplomacy."
Martin Jacques,Author title not found,"Martin Jacques was until recently a Senior Fellow at the Department of Politics and International Studies at Cambridge University. He is a Visiting Professor at the Institute of Modern International Relations at Tsinghua University and a Senior Fellow at the China Institute, Fudan University. He is the author of When China Rules the World."
Wang Qi,"Reporter, Beijing","Global Times reporter covering international affairs, cross-Straits relations and Chinese society; a captive of his experiences."
Chen Qingqing,"Reporter, Beijing","Chen Qingqing co-leads the Global Times China desk. She covers diplomacy, Hong Kong affairs and Chinese tech firms."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Chen Qingqing,"Reporter, Beijing","Chen Qingqing co-leads the Global Times China desk. She covers diplomacy, Hong Kong affairs and Chinese tech firms."
Huang Lanlan,"Reporter, Shanghai","Global Times reporter based in Shanghai, covering political and social topics especially related to Shanghai and its surrounding areas."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Chen Qingqing,"Reporter, Beijing","Chen Qingqing co-leads the Global Times China desk. She covers diplomacy, Hong Kong affairs and Chinese tech firms."
Chen Qingqing,"Reporter, Beijing","Chen Qingqing co-leads the Global Times China desk. She covers diplomacy, Hong Kong affairs and Chinese tech firms."
Deng Xiaoci,"Reporter, Beijing",Global Times reporter tracking China's space programs and cutting-edge science and technology projects.
Zhao Yusha,"Reporter, Beijing","Global Times reporter covering international affairs, politics and society."
Chen Qingqing,"Reporter, Beijing","Chen Qingqing co-leads the Global Times China desk. She covers diplomacy, Hong Kong affairs and Chinese tech firms."
Wang Qi,"Reporter, Beijing","Global Times reporter covering international affairs, cross-Straits relations and Chinese society; a captive of his experiences."
Liu Xuanzun,"Reporter, Beijing",Defense reporter at the Global Times covering weapons and military development.
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Wang Qi,"Reporter, Beijing","Global Times reporter covering international affairs, cross-Straits relations and Chinese society; a captive of his experiences."
Liu Xin,"Reporter, Beijing","Liu Xin co-leads the Global Times China desk. She covers topics on China’s Xinjiang region, religious fields, border areas and diplomacy."
Liu Xin,"Reporter, Beijing","Liu Xin co-leads the Global Times China desk. She covers topics on China’s Xinjiang region, religious fields, border areas and diplomacy."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Hu Xijin,Global Times commentator,Hu Xijin is the former editor-in-chief of the Global Times. Previously he worked as a reporter in the People's Daily and covered the Bosnian war in the 1990s.
Hu Xijin,Global Times commentator,Hu Xijin is the former editor-in-chief of the Global Times. Previously he worked as a reporter in the People's Daily and covered the Bosnian war in the 1990s.
Liu Xuanzun,"Reporter, Beijing",Defense reporter at the Global Times covering weapons and military development.
Wang Qi,"Reporter, Beijing","Global Times reporter covering international affairs, cross-Straits relations and Chinese society; a captive of his experiences."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Martin Jacques,Author title not found,"Martin Jacques was until recently a Senior Fellow at the Department of Politics and International Studies at Cambridge University. He is a Visiting Professor at the Institute of Modern International Relations at Tsinghua University and a Senior Fellow at the China Institute, Fudan University. He is the author of When China Rules the World."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Liu Xuanzun,"Reporter, Beijing",Defense reporter at the Global Times covering weapons and military development.
Zhao Yusha,"Reporter, Beijing","Global Times reporter covering international affairs, politics and society."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Xu Keyue,"Reporter, Beijing","Global Times reporter following Australia and Japan issues, also with a focus on social issues and overseas studies."
Author name not found,Author title not found,Author description not found
Chen Qingqing,"Reporter, Beijing","Chen Qingqing co-leads the Global Times China desk. She covers diplomacy, Hong Kong affairs and Chinese tech firms."
Chen Qingqing,"Reporter, Beijing","Chen Qingqing co-leads the Global Times China desk. She covers diplomacy, Hong Kong affairs and Chinese tech firms."
Zhao Yusha,"Reporter, Beijing","Global Times reporter covering international affairs, politics and society."
Liu Xin,"Reporter, Beijing","Liu Xin co-leads the Global Times China desk. She covers topics on China’s Xinjiang region, religious fields, border areas and diplomacy."
