author_name,author_title,author_description
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Deng Xiaoci,"Reporter, Beijing",Global Times reporter tracking China's space programs and cutting-edge science and technology projects.
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Deng Xiaoci,"Reporter, Beijing",Global Times reporter tracking China's space programs and cutting-edge science and technology projects.
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Liu Xin,"Reporter, Beijing","Liu Xin co-leads the Global Times China desk. She covers topics on China’s Xinjiang region, religious fields, border areas and diplomacy."
Wang Qi,"Reporter, Beijing","Global Times reporter covering international affairs, cross-Straits relations and Chinese society; a captive of his experiences."
Bradley Blankenship,Author title not found,"Bradley Blankenship is a Prague-based American journalist, columnist and political                    commentator."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Liu Xin,"Reporter, Beijing","Liu Xin co-leads the Global Times China desk. She covers topics on China’s Xinjiang region, religious fields, border areas and diplomacy."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
Xu Liuliu,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news."
