,sentence_id,article_id,article_text,published_time,sentiment,NER,topic_id,topic_representation
0,000-000,000,"Since this year, the UN (UN) has repeatedly sounded the alarm on the global food crisis.",2022-08-22,negative,"{'UN': ('ORG', 2)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
1,000-001,000,"UN Secretary-General Antonio Guterres on Saturday in Turkey once again underlined the unimpeded access to the global markets of Russia food and fertilizer; otherwise ""there may not be enough food in 2023.""",2022-08-22,neutral,"{'UN': ('ORG', 1), 'Antonio Guterres': ('PER', 1), 'Turkey': ('LOC', 1), 'Russia': ('LOC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
2,000-002,000,"This is a major appeal made by UN Secretary-General to the international community from the highest standpoint of safeguarding global common interests and preventing humanitarian crisis, which deserves positive response and strong support from all relevant countries.",2022-08-22,positive,"{'UN': ('ORG', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
3,000-003,000,Guterres had clear target when he made these remarks.,2022-08-22,positive,"{'Guterres': ('PER', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
4,000-004,000,"At present, it is no secret who is the biggest obstacle for Russia's fertilizers and agricultural products to enter the world market, and which segments they are mainly stuck in.",2022-08-22,negative,"{'Russia': ('LOC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
5,000-005,000,"Although the US and West countries have not included Russia agricultural products and fertilizers on their sanctions list, Guterres made it clear that the export of these products is still affected by a ""chilling effect.""",2022-08-22,positive,"{'US': ('LOC', 1), 'West': ('LOC', 1), 'Russia': ('LOC', 1), 'Guterres': ('PER', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
6,000-006,000,The reality is true that most international traders are afraid of buying for fear of US and EU sanctions.,2022-08-22,negative,"{'US': ('LOC', 1), 'EU': ('ORG', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
7,000-007,000,"On the other hand, even though the US and the West have lifted financial restrictions on Russia grain and fertilizers, etc., the issue of freight restrictions has remained unsettled.",2022-08-22,positive,"{'US': ('LOC', 1), 'West': ('LOC', 1), 'Russia': ('LOC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
8,000-008,000,"Russia ships are barred from entering key ports in regions such as the Mediterranean, while foreign ships are also banned from traveling to Russia ports to pick up food and other goods.",2022-08-22,negative,"{'Russia': ('LOC', 2), 'Mediterranean': ('LOC', 1)}",0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
9,000-009,000,"That means even if one dares to buy them, these goods will either be difficult to ship or bear high shipping costs.",2022-08-22,negative,{},0,"['china', 'russia', 'eu', 'countries', 'cooperation', 'ukraine', 'relations', 'war', 'economy', 'political']"
