author_name,author_title,author_description
Zhang Hui,"Reporter, Beijing","Global Times reporter covering international relations, politics, public health and science."
Xu Keyue,"Reporter, Beijing","Global Times reporter following Australia and Japan issues, also with a focus on social issues and overseas studies."
Chen Qingqing,"Reporter, Beijing","Chen Qingqing co-leads the Global Times China desk. She covers diplomacy, Hong Kong affairs and Chinese tech firms."
Zhang Hui,"Reporter, Beijing","Global Times reporter covering international relations, politics, public health and science."
Liu Xin,"Reporter, Beijing","Liu Xin co-leads the Global Times China desk. She covers topics on China’s Xinjiang region, religious fields, border areas and diplomacy."
Zhang Hui,"Reporter, Beijing","Global Times reporter covering international relations, politics, public health and science."
Chen Qingqing,"Reporter, Beijing","Chen Qingqing co-leads the Global Times China desk. She covers diplomacy, Hong Kong affairs and Chinese tech firms."
Zhang Hui,"Reporter, Beijing","Global Times reporter covering international relations, politics, public health and science."
Wang Wen,Author title not found,Wang Wen is professor and executive dean of Chongyang Institute for Financial Studies at Renmin University of China.
Andrey Kortunov,Author title not found,"Andrey Kortunov, academic director of the Russian International Affairs Council."
Bradley Blankenship,Author title not found,"Bradley Blankenship is a Prague-based American journalist, columnist and political                    commentator."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Chen Qingqing,"Reporter, Beijing","Chen Qingqing co-leads the Global Times China desk. She covers diplomacy, Hong Kong affairs and Chinese tech firms."
Xu Keyue,"Reporter, Beijing","Global Times reporter following Australia and Japan issues, also with a focus on social issues and overseas studies."
Zhao Yusha,"Reporter, Beijing","Global Times reporter covering international affairs, politics and society."
Chen Qingqing,"Reporter, Beijing","Chen Qingqing co-leads the Global Times China desk. She covers diplomacy, Hong Kong affairs and Chinese tech firms."
Zhao Yusha,"Reporter, Beijing","Global Times reporter covering international affairs, politics and society."
Chu Daye,"Reporter, Beijing","Chu Daye is a business reporter at the Global Times focusing on general topics, trade, investment and energy."
Wang Qi,"Reporter, Beijing","Global Times reporter covering international affairs, cross-Straits relations and Chinese society; a captive of his experiences."
Chen Qingqing,"Reporter, Beijing","Chen Qingqing co-leads the Global Times China desk. She covers diplomacy, Hong Kong affairs and Chinese tech firms."
Chu Daye,"Reporter, Beijing","Chu Daye is a business reporter at the Global Times focusing on general topics, trade, investment and energy."
Chen Qingqing,"Reporter, Beijing","Chen Qingqing co-leads the Global Times China desk. She covers diplomacy, Hong Kong affairs and Chinese tech firms."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Chu Daye,"Reporter, Beijing","Chu Daye is a business reporter at the Global Times focusing on general topics, trade, investment and energy."
Author name not found,Author title not found,Author description not found
Zhang Hui,"Reporter, Beijing","Global Times reporter covering international relations, politics, public health and science."
Wang Wenwen,"Reporter, Beijing",Chief reporter of the Global Times. She is also a commentator on US politics and Asian security.
Deng Xiaoci,"Reporter, Beijing",Global Times reporter tracking China's space programs and cutting-edge science and technology projects.
Wang Jiamei,"Reporter, Shanghai","Global Times reporter covering global political economy and development, international trade and investment."
Zhao Yusha,"Reporter, Beijing","Global Times reporter covering international affairs, politics and society."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Author name not found,Author title not found,Author description not found
Zhang Hui,"Reporter, Beijing","Global Times reporter covering international relations, politics, public health and science."
Wang Qi,"Reporter, Beijing","Global Times reporter covering international affairs, cross-Straits relations and Chinese society; a captive of his experiences."
Liu Xin,"Reporter, Beijing","Liu Xin co-leads the Global Times China desk. She covers topics on China’s Xinjiang region, religious fields, border areas and diplomacy."
Ding Gang,Author title not found,"Ding Gang is a senior editor with People's Daily, and a senior fellow with the Chongyang Institute for Financial Studies."
Xie Jun,"Reporter, Shanghai","Global Times reporter based in Shanghai, covering financial news and breaking news related to large corps surrounding Shanghai."
Zhang Hui,"Reporter, Beijing","Global Times reporter covering international relations, politics, public health and science."
