author_name,author_title,author_description
Ding Gang,Author title not found,"Ding Gang is a senior editor with People's Daily, and a senior fellow with the Chongyang Institute for Financial Studies."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Zhao Yusha,"Reporter, Beijing","Global Times reporter covering international affairs, politics and society."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Hu Xijin,Global Times commentator,Hu Xijin is the former editor-in-chief of the Global Times. Previously he worked as a reporter in the People's Daily and covered the Bosnian war in the 1990s.
Wang Qi,"Reporter, Beijing","Global Times reporter covering international affairs, cross-Straits relations and Chinese society; a captive of his experiences."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Wang Wenwen,"Reporter, Beijing",Chief reporter of the Global Times. She is also a commentator on US politics and Asian security.
Chen Qingqing,"Reporter, Beijing","Chen Qingqing co-leads the Global Times China desk. She covers diplomacy, Hong Kong affairs and Chinese tech firms."
Zhang Hui,"Reporter, Beijing","Global Times reporter covering international relations, politics, public health and science."
Chen Qingqing,"Reporter, Beijing","Chen Qingqing co-leads the Global Times China desk. She covers diplomacy, Hong Kong affairs and Chinese tech firms."
Hu Xijin,Global Times commentator,Hu Xijin is the former editor-in-chief of the Global Times. Previously he worked as a reporter in the People's Daily and covered the Bosnian war in the 1990s.
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Hu Yuwei,"Reporter, Beijing","In-Depth reporter covering COVID-19 vaccines and health, Tibetan issue, China-ASEAN relations, among others."
Xu Keyue,"Reporter, Beijing","Global Times reporter following Australia and Japan issues, also with a focus on social issues and overseas studies."
Chen Qingqing,"Reporter, Beijing","Chen Qingqing co-leads the Global Times China desk. She covers diplomacy, Hong Kong affairs and Chinese tech firms."
Wang Qi,"Reporter, Beijing","Global Times reporter covering international affairs, cross-Straits relations and Chinese society; a captive of his experiences."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Liu Xin,"Reporter, Beijing","Liu Xin co-leads the Global Times China desk. She covers topics on China’s Xinjiang region, religious fields, border areas and diplomacy."
Wang Qi,"Reporter, Beijing","Global Times reporter covering international affairs, cross-Straits relations and Chinese society; a captive of his experiences."
Liu Xuanzun,"Reporter, Beijing",Defense reporter at the Global Times covering weapons and military development.
Liu Xuanzun,"Reporter, Beijing",Defense reporter at the Global Times covering weapons and military development.
Andrey Kortunov,Author title not found,"Andrey Kortunov, academic director of the Russian International Affairs Council."
Wang Qi,"Reporter, Beijing","Global Times reporter covering international affairs, cross-Straits relations and Chinese society; a captive of his experiences."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Xu Keyue,"Reporter, Beijing","Global Times reporter following Australia and Japan issues, also with a focus on social issues and overseas studies."
Andrey Kortunov,Author title not found,"Andrey Kortunov, academic director of the Russian International Affairs Council."
Yang Sheng,"Reporter, Beijing","Yang Sheng is a chief reporter at the Global Times covering Chinese politics, diplomacy and military."
Xie Jun,"Reporter, Shanghai","Global Times reporter based in Shanghai, covering financial news and breaking news related to large corps surrounding Shanghai."
Wang Jiamei,"Reporter, Shanghai","Global Times reporter covering global political economy and development, international trade and investment."
Chen Qingqing,"Reporter, Beijing","Chen Qingqing co-leads the Global Times China desk. She covers diplomacy, Hong Kong affairs and Chinese tech firms."
Zhang Dan,"Reporter, Beijing","Global Times business reporter covering macro-economy, trade with ASEAN and tech happenings in China."
Liu Xuanzun,"Reporter, Beijing",Defense reporter at the Global Times covering weapons and military development.
Andrey Kortunov,Author title not found,"Andrey Kortunov, academic director of the Russian International Affairs Council."
Chen Xi,"Reporter, Beijing","Global Times life reporter, covering culture, art and entertainment."
Chu Daye,"Reporter, Beijing","Chu Daye is a business reporter at the Global Times focusing on general topics, trade, investment and energy."
Ding Gang,Author title not found,"Ding Gang is a senior editor with People's Daily, and a senior fellow with the Chongyang Institute for Financial Studies."
Ding Gang,Author title not found,"Ding Gang is a senior editor with People's Daily, and a senior fellow with the Chongyang Institute for Financial Studies."
Ding Gang,Author title not found,"Ding Gang is a senior editor with People's Daily, and a senior fellow with the Chongyang Institute for Financial Studies."
Ding Gang,Author title not found,"Ding Gang is a senior editor with People's Daily, and a senior fellow with the Chongyang Institute for Financial Studies."
Ding Gang,Author title not found,"Ding Gang is a senior editor with People's Daily, and a senior fellow with the Chongyang Institute for Financial Studies."
Ding Gang,Author title not found,"Ding Gang is a senior editor with People's Daily, and a senior fellow with the Chongyang Institute for Financial Studies."
Ding Gang,Author title not found,"Ding Gang is a senior editor with People's Daily, and a senior fellow with the Chongyang Institute for Financial Studies."
Ding Gang,Author title not found,"Ding Gang is a senior editor with People's Daily, and a senior fellow with the Chongyang Institute for Financial Studies."
Ding Gang,Author title not found,"Ding Gang is a senior editor with People's Daily, and a senior fellow with the Chongyang Institute for Financial Studies."
