Entity Type,Word,Count
LOC,Israel,1653
LOC,China,1479
LOC,US,1405
LOC,Gaza,1226
LOC,Palestine,796
LOC,Ukraine,331
LOC,Russia,224
LOC,Middle East,220
LOC,Red Sea,177
LOC,Lebanon,172
LOC,Egypt,144
LOC,Saudi Arabia,131
LOC,Rafah,117
LOC,South China Sea,111
LOC,Iran,97
LOC,West,96
LOC,Khan Younis,83
LOC,Washington,82
LOC,France,81
LOC,Yemen,81
LOC,Germany,74
LOC,Taiwan,66
LOC,Beijing,65
LOC,Taiwan Straits,61
LOC,UK,59
LOC,Syria,56
LOC,Japan,52
LOC,West Bank,47
LOC,Pacific,42
LOC,Jordan,34
LOC,White House,32
LOC,Asia,32
LOC,Turkey,31
LOC,Xinjiang,30
LOC,India,29
LOC,Australia,27
LOC,Iraq,27
LOC,San Francisco,26
LOC,Xinjiang Uygur Autonomous Region,25
LOC,People ' s Republic of China,25
MISC,Palestinian - Israeli Conflict,132
MISC,West,121
MISC,Hamas,99
MISC,Houthi,60
MISC,US,60
MISC,Israel,53
MISC,Republican,42
MISC,Islamic,32
MISC,China,32
MISC,Houthis,25
MISC,Saudi,25
MISC,China - US Military Maritime Consultative Agreement,24
MISC,BRI,23
MISC,Israeli,19
MISC,Palestine,18
MISC,African,17
MISC,Jewish,17
MISC,Muslim,15
MISC,Times,15
MISC,G20,15
MISC,Australian,14
MISC,Ho,13
MISC,Global,13
MISC,Japanese,13
MISC,Cold War,13
MISC,British,12
MISC,Democrats,12
MISC,GSI,12
MISC,Indian,11
MISC,US Defense Policy Coordination Talks,11
MISC,Iran,10
MISC,pro,10
MISC,Israel -,10
MISC,ASEAN,10
MISC,Global Security Initiative,10
MISC,anti,9
MISC,Indo - Pacific,9
MISC,World War II,9
MISC,Christmas Day,9
MISC,Hamas - Israel,9
ORG,Hamas,390
ORG,UN,379
ORG,Xinhua,283
ORG,EU,271
ORG,Global Times,183
ORG,Health Ministry,137
ORG,EU Union,69
ORG,EU Commission,69
ORG,Hezbollah,68
ORG,Foreign Ministry,44
ORG,EU Council,37
ORG,NATO,34
ORG,Reuters,34
ORG,IDF,32
ORG,BRICS,27
ORG,Congress,27
ORG,Institute,25
ORG,CPC Central Committee,24
ORG,CNN,23
ORG,G7,20
ORG,Council of the EU,19
ORG,UN Human Rights Council,18
ORG,Political Bureau,18
ORG,Times,14
ORG,G20,14
ORG,AP,14
ORG,Shanghai International Studies University,13
ORG,Xinh,13
ORG,Council,12
ORG,Al Jazeera,12
ORG,Southern EU,12
ORG,Pentagon,12
ORG,US House,12
ORG,EU Commission3 En,12
ORG,Middle East Studies Institute,11
ORG,MSC,11
ORG,TikTok,11
ORG,UN General Assembly,11
ORG,PRCS,11
ORG,China Academy of Social Sciences,10
PER,Joe Biden,144
PER,Wang Yi,133
PER,Donald Trump,62
PER,Xi Jinping,62
PER,Antony Blinken,50
PER,Zhang Jun,43
PER,Mao Ning,36
PER,Benjamin Netanyahu,36
PER,Wang Wenbin,30
PER,Zhai Jun,27
PER,Lloyd Austin,25
PER,Liu Zhongmin,19
PER,Volodymyr Zelensky,18
PER,Yasser Qudih,16
PER,David Cameron,16
PER,Geng Shuang,15
PER,Vladimir Putin,15
PER,Antonio Guterres,15
PER,Emmanuel Macron,14
PER,Nancy Pelosi,14
PER,Hassan Nasrallah,13
PER,Kurt Campbell,13
PER,Wang,13
PER,Li Haidong,12
PER,Li Qiang,12
PER,Recep Tayyip Erdogan,12
PER,Tom Cotton,10
PER,Shou Zi Chew,10
PER,Liu,10
PER,Mike Johnson,10
PER,Anthony Albanese,10
PER,Joe B,9
PER,Zhu Yongbiao,9
PER,Say,9
PER,Jeffrey Sachs,9
PER,Cui Heng,9
PER,Henry Kissinger,9
PER,Zhang Youxia,9
PER,Nong Rong,9
PER,Al,8
