Unnamed: 0,article_title,author,published_time,article_text,article_category_one,article_category_two,picture_description,author_title,author_description,NER
0,"Palestinian death toll in Gaza from Israeli attacks rises to 30,717: ministry",Xinhua,2024-03-07," 

People walk past destroyed buildings in the Gaza city of Khan Younis, on March 6, 2024. The Palestine death toll from ongoing Israel attacks on the Gaza has risen to 30,717 with 72,156 others wounded, the Hamas-run Health Ministry said in a press statement on Wednesday.(Photo: Xinhua) 



A young man walks among the rubble of destroyed buildings in the Gaza city of Khan Younis, on March 6, 2024. The Palestine death toll from ongoing Israel attacks on the Gaza has risen to 30,717 with 72,156 others wounded, the Hamas-run Health Ministry said in a press statement on Wednesday.(Photo: Xinhua) 



People walk past destroyed buildings in the Gaza city of Khan Younis, on March 6, 2024. The Palestine death toll from ongoing Israel attacks on the Gaza has risen to 30,717 with 72,156 others wounded, the Hamas-run Health Ministry said in a press statement on Wednesday.(Photo: Xinhua) The Palestine death toll from ongoing Israel attacks on the Gaza has risen to 30,717 with 72,156 others wounded, the Hamas-run Health Ministry said in a press statement on Wednesday.During the last 24 hours, the Israel army killed 86 Palestine and wounded 113 others, it added.This brings the total death toll to 30,717 and injuries to 72,156, since the Israel-Hamas conflict broke out on Oct. 7, 2023.The statement noted that some victims remained under the rubble amid heavy bombardment and a lack of civil defense and ambulance crews.Israel has been launching a large-scale offensive against Hamas in the Gaza to retaliate against a Hamas rampage through the southern Israel border on Oct. 7, 2023, during which about 1,200 people were killed and more than 200 were taken hostage.",PHOTO,WORLD,"A young man walks past destroyed buildings in the southern Gaza Strip city of Khan Younis, on March 6, 2024. The Palestinian death toll from ongoing Israeli attacks on the Gaza Strip has risen to 30,717 with 72,156 others wounded, the Hamas-run Health Ministry said in a press statement on Wednesday.(Photo: Xinhua)",Author details not found,Author details not found,"{'Gaza': ('LOC', 8), 'Khan Younis': ('LOC', 3), 'Palestine': ('LOC', 5), 'Israel': ('LOC', 8), 'Hamas': ('MISC', 7), 'Health Ministry': ('ORG', 4), 'Xinhua': ('ORG', 3)}"
1,Daily life at Al-Maghazi refugee camp in Gaza Strip,Xinhua,2024-03-07," 

Children are pictured at Al-Maghazi refugee camp in central Gaza, March 5, 2024.(Photo: Xinhua) 



Children are seen playing at Al-Maghazi refugee camp in central Gaza, March 5, 2024.(Photo: Xinhua) 



Children are pictured at Al-Maghazi refugee camp in central Gaza, March 5, 2024.(Photo: Xinhua)",PHOTO,WORLD,"A vendor makes desserts at Al-Maghazi refugee camp in central Gaza Strip, March 5, 2024.(Photo: Xinhua)",Author details not found,Author details not found,"{'Al - Maghazi': ('LOC', 3), 'Gaza': ('LOC', 3), 'Xinhua': ('ORG', 3)}"
2,"Two-State solution only way to break vicious cycle of Israel-Palestine conflict, eliminate the breeding ground of extremist ideologies: Wang Yi",Global Times,2024-03-07,"There is no distinction between noble and humble lives, and people should not be unfavorably labeled according to their race or religion. The failure to end the humanitarian disaster caused by the Palestinian-Israeli Conflict today in the 21st century is a tragedy for humanity and a disgrace for civilization, said China Foreign Minister Wang Yi on Thursday.Nothing justifies the protraction of the conflict, or the killing of the civilian population, Wang stressed when holding a press conference on Thursday on the sidelines of the second session of the 14th National People's Congress.The current conflict has caused more than 100,000 civilian casualties, he noted.The international community must act urgently to reach an immediate cease-fire and an end to the fighting an overriding priority, and to ensure that humanitarian assistance is an urgent moral imperative. The people of Gaza have a right to survive in this world, and the women and children deserve to be cared for by their loved ones, the China foreign minister said.The long occupation of the Palestine territories and the long-cherished aspiration of the Palestine for an independent state should not be ignored anymore. More importantly, the historical injustice suffered by the Palestine must not be allowed to continue uncorrected generation after generation, Wang stated.He called for restoring justice to the Palestine people and fully implementing the two-State solution, which is the only way to break the vicious cycle of Palestinian-Israeli Conflict conflicts, to eliminate the breeding ground of extremist ideologies, and to realize enduring peace in the Middle East.China firmly supports the just cause of the Palestine people to restore their legitimate national rights, and has always been committed to a comprehensive, just and lasting settlement of the Palestine issue, stated Wang.""We support Palestine's bid to become a full member state of the UN and call on individual UN members to stop obstructing this process. We propose that a larger, more authoritative and more effective international peace conference be convened to draw up a road map and timetable for the implementation of the two-State solution. China will continue to work with the international community to restore peace, save lives and uphold justice,"" Wang said. Global Times",CHINA,POLITICS,"People walk past destroyed buildings in the southern Gaza Strip city of Khan Younis, on March 6, 2024. The Palestinian death toll from ongoing Israeli attacks on the Gaza Strip has risen to 30,717 with 72,156 others wounded, the Hamas-run Health Ministry said in a press statement on Wednesday.(Photo: Xinhua)",Author details not found,Author details not found,"{'Palestinian - Israeli Conflict': ('MISC', 2), 'China': ('LOC', 4), 'Gaza': ('LOC', 1), 'Palestine': ('LOC', 7), 'Middle East': ('LOC', 1), 'Wang Yi': ('PER', 5), ""14th National People ' s Congress"": ('ORG', 1), 'UN': ('ORG', 2)}"
3,Biden to deliver State of the Union address,GT staff reporters,2024-03-07,"US President Joe Biden is expected to deliver his State of the Union address on Thursday night local time, right after former US president Donald Trump became the sole remaining major candidate for the 2024 Republican presidential nomination. Describing the address as ""what could be the most consequential speech of Joe Biden's presidency,"" US media outlet CNN expected Joe Biden to tout his economic record, talk about the failed border deal and abortion rights to provide a contrast with Donald Trump, defend the US' role abroad, and warn about democracy and threats in the country. Although Joe Biden will command the attention on the night of what might be the largest television audience before November, the speech will likely be rather defensive in nature, considering that the Joe Biden administration does not have many achievements to boast about, experts said. Joe Biden is likely to focus his speech on boosting domestic confidence, emphasizing his government's achievements and plans in the economy and stock market, Lü Xiang, a research fellow at the China Academy of Social Sciences, told the Global Times on Thursday. In terms of foreign policy, Russia is likely to be a major topic. Joe Biden is also expected to address support for Israel and immigration issues, Lü said. However, the expert highly doubted that the confidence of the US people could be restored by just one speech. A number of surveys showed the US public's strong disapproval of the state of the economy, something Joe Biden has struggled to wrap his head around, according to CNN. The speech comes right after former US president Donald Trump became the sole remaining major candidate for the 2024 Republican presidential nomination, after his main opponent Nikki Haley announced her exit from the election on Wednesday. Donald Trump, who won 14 of 15 states' primaries on Super Tuesday, and Joe Biden, who swept all 15 states on that day, are well on their way to becoming the 2024 presidential nominees in their respective parties. A number of US media outlets pointed out that the speech will give Joe Biden a chance to draw a contrast with Donald Trump by focusing on issues he believes will win over more voters. He will also be working to show voters concerned about his age that at 81, he is still rigorous enough for the job, NPR reported on Wednesday. However, observers suggest that Joe Biden's performance in this State of the Union address is unlikely to have a significantly positive impact on his re-election prospects. ""If this were a year ago, a good State of the Union speech might have helped his public approval ratings, but not now,"" Lü said. In fact, Joe Biden's previous two State of the Union addresses during his term did not have a positive effect either.Joe Biden had a very positive image when he first took office, but his honeymoon period ended after a few months, while his public approval ratings quickly dropped to below 45 percent in 2022 and never returned to previous levels. The majority of US losing confidence in both of the main presidential prospects indicated that the democratic system that the US prides itself on has shown significant flaws, observers noted, as the public is stuck with an unsatisfactory gerontocracy.""The two-party system in the US has become strange and abnormal, and is stuck in a sluggish state. The issues in the electoral system are a microcosm of US politics,"" Lü said.Later on Thursday after Joe Biden's speech, Republican Senator Katie Britt will deliver the Republican response, as per the annual tradition.",CHINA,DIPLOMACY,"US President Joe Biden speaks during a meeting of his Competition Council in the White House in Washington on March 5, 2024. Photo: VCG",Author details not found,Author details not found,"{'US': ('LOC', 8), 'Russia': ('LOC', 1), 'Israel': ('LOC', 1), 'Joe Biden': ('PER', 9), 'Donald Trump': ('PER', 5), 'Lü Xiang': ('PER', 2), 'Nikki Haley': ('PER', 1), 'Joe B': ('PER', 2), 'State': ('MISC', 1), 'the Union': ('MISC', 1), 'Republican': ('MISC', 2), 'Super': ('MISC', 1), 'CNN': ('ORG', 2), 'China Academy of Social Sciences': ('ORG', 2), 'Global Times': ('ORG', 1), 'NPR': ('ORG', 1), 'Union': ('ORG', 1)}"
4,Houthi attacks in Red Sea reports first fatalities as regional conflict escalates,Fan Anqi,2024-03-07,"A Houthi missile attack on a merchant ship in the Gulf of Aden killed at least three seafarers, the first fatalities reported since the Yemeni military group began attacking Israel-linked ships in the Red Sea, media reported on Wednesday. China experts said the root cause for the conflict overspill fundamentally lies with the US and its suppression of Palestine's legitimate rights and interests. The Houthis claimed responsibility for the attack on Wednesday, which set ablaze the Liberian-owned, Barbados-flagged ship True Confidence, killing at least three and injuring four, of which three are in critical condition, according to media reports. Among the victims, two of the deceased and two of the severely injured have been confirmed as Filipino crewmen, the Philippine Department of Migrant Workers announced on Thursday.The deadly strike is seen by China observers as an escalation in regional conflict, but does not necessarily signify a significant turning point. Following this incident, the US and UK may use it as a pretext to launch further military actions against Houthi forces, including increased military operations and media suppression, Zhu Yongbiao, director of the Center for Afghanistan Studies at Lanzhou University, told the Global Times on Thursday. The US and UK have launched a series of airstrikes against Houthis in the past few days in an attempt to deter the militia from exacerbating the situation in one of the world's most important shipping lanes.However, analysts said the strikes will only bring more conflicts to the region, as well as new challenges to the fragile global economic recovery, especially for those economies that have suffered from serious inflation and heavily rely on energy supplies from the Middle East via the Red Sea.The current turmoil in the Middle East is primarily attributed to the unjust interference of major powers, Zhu said. The US, as a significant player in the region, has long been supporting Israel, which has been a fundamental cause of the prolonged unresolved issues in the Middle East. In addition, Palestine were denied of their legitimate demands and rights, particularly their right to establish a state, Zhu said, and this deliberate neglect and suppression have led to the tragic escalation of conflict.The expert said that the deadly attack by the Houthi rebels is to some extent part of the ongoing efforts to coordinate with Hamas to exert pressure on the US and accelerate the cease-fire deal it brokered and make the deal more favorable for Palestine. However, the current deal is facing significant disagreements and has stalled once again, making it even more unlikely to be reached before the start of the Muslim holy month of Ramadan - the informal deadline for the deal.Three days of negotiations with Hamas over the cease-fire in Gaza have failed to achieve a breakthrough, Al Jazeera reported on Tuesday. However, the US insisted on Wednesday that a truce accord before Ramadan is still possible.The likelihood of its passage depends largely on how much the US hopes to gain political points, particularly in the upcoming presidential elections, through the achievement of such an agreement. This will determine the extent of effort the US is willing to put in and the pressure it will exert on both parties, Zhu noted. The US blocked forcibly, for the fourth time, a cease-fire resolution at the UN on Tuesday. Geng Shuang, China's deputy permanent representative to the UN, said the results of the vote clearly showed that the vast majority of Council members are unanimous on the issue of a cease-fire in Gaza, while the US exclusively abused its veto power to stifle the Council's consensus, which has caused widespread discontent in the international community.",CHINA,DIPLOMACY,A container ship sails in the Red Sea in the Straits of Tiran in 2023. Photo: IC,Author details not found,Author details not found,"{'Houthi': ('MISC', 2), 'Yemeni': ('MISC', 1), 'Israel': ('MISC', 2), 'Houthis': ('MISC', 2), 'Liberian': ('MISC', 1), 'Barbados': ('MISC', 1), 'Filipino': ('MISC', 1), 'Ho': ('MISC', 1), 'Gulf of Aden': ('LOC', 1), 'Red Sea': ('LOC', 2), 'China': ('LOC', 2), 'US': ('LOC', 5), 'Palestine': ('LOC', 3), 'UK': ('LOC', 2), 'Middle East': ('LOC', 3), 'True Confidence': ('ORG', 1), 'Philippine Department of Migrant Workers': ('ORG', 1), 'Center for Afghanistan Studies': ('ORG', 1), 'Lanzhou University': ('ORG', 1), 'Global Times': ('ORG', 1), 'Hamas': ('ORG', 1), 'Zhu Yongbiao': ('PER', 3)}"
5,Jordan conducts 8 joint airdrops of aid to Gaza,Xinhua,2024-03-06," 

 



 



 The Jordan Armed Forces-Saudi Arabia Army said on Tuesday that it conducted eight joint airdrops of aid to Gaza with several countries.The airdrops, which came as part of continued efforts to deliver humanitarian aid to the residents of the Gaza, were conducted by three C130 aircraft belonging to the Royal Jordanian Air Force, three US aircraft, one Egypt aircraft, and one France aircraft, the state-run Petra news agency reported.The relief and food aid targeted several sites in northern Gaza, and it included materials provided by the World Food Programme, Petra reported.The operation is part of Jordan's ongoing efforts to send more medical, relief, and food aid to the people in the Gaza to alleviate the effects of the conflict and compensate for the severe shortages in food and medicine due to the continued Israel aggression, according to the agency.The armed forces emphasized continued commitment to sending aid through an aerial bridge, whether through aid planes from Amman's Marka Military Airport to El-Arish International Airport in Egypt's North Sinai or through airdrop operations to the Gaza.",PHOTO,WORLD,"Humanitarian aid is airdropped over the northern Gaza Strip, on March 5, 2024. The Jordan Armed Forces-Arab Army said on Tuesday that it conducted eight joint airdrops of aid to Gaza with several countries.(Photo: Xinhua)",Author details not found,Author details not found,"{'Jordan Armed Forces - Saudi Arabia Army': ('ORG', 1), 'Royal Jordanian Air Force': ('ORG', 1), 'Petra': ('ORG', 2), 'World Food Programme': ('ORG', 1), 'Gaza': ('LOC', 5), 'US': ('LOC', 1), 'Egypt': ('LOC', 2), 'France': ('LOC', 1), 'Jordan': ('LOC', 1), 'Israel': ('LOC', 1), 'Amman': ('LOC', 1), 'Marka Military Airport': ('LOC', 1), 'El - Arish International Airport': ('LOC', 1), 'North Sinai': ('LOC', 1), 'C0': ('MISC', 1)}"
6,"Palestinian death toll in Gaza rises to 30,631: ministry",Xinhua,2024-03-06," 

People are seen on a road at Al-Maghazi refugee camp in central Gaza, on March 5, 2024. The Palestine death toll in the Gaza from ongoing Israel attacks has risen to 30,631, the Hamas-run Health Ministry said on Tuesday.(Photo: Xinhua) 



A man pushes a bicycle at Al-Maghazi refugee camp in central Gaza, on March 5, 2024. The Palestine death toll in the Gaza from ongoing Israel attacks has risen to 30,631, the Hamas-run Health Ministry said on Tuesday(Photo: Xinhua) 



People walk past destroyed buildings at Al-Maghazi refugee camp in central Gaza, on March 5, 2024. The Palestine death toll in the Gaza from ongoing Israel attacks has risen to 30,631, the Hamas-run Health Ministry said on Tuesday.(Photo: Xinhua) The Palestine death toll in the Gaza from ongoing Israel attacks has risen to 30,631, the Hamas-run Health Ministry said on Tuesday.In the press statement sent to Xinhua, the ministry said that the Israel army killed 97 and wounded 123 others during the past 24 hours, bringing the total death toll to 30,631 and injuries to 72,043.The statement noted that some victims remain under the rubble amid heavy bombardment and a lack of civil defense and ambulance crews.The Palestine Ministry of Foreign Affairs has warned of the deepening of the humanitarian crisis in the coastal enclave as a result of the continuation of the conflict.In a statement sent to Xinhua, it accused Israel of ""escalating the episodes of genocidal war at a worse pace due to the population density it has created in the center and south of the Gaza, where the number of displaced Palestine is approximately 1.7 million. Palestine who do not know where to go or are displaced as a result of the continuous bombing that affects everything and in the absence of any safe place there.""Israel has been launching a large-scale offensive against Hamas in the Gaza to retaliate against a Hamas rampage through the southern Israel border on Oct. 7, 2023, during which about 1,200 people were killed and more than 200 taken hostages.",PHOTO,WORLD,"Children play near the rubble at Al-Maghazi refugee camp in central Gaza Strip, on March 5, 2024. The Palestinian death toll in the Gaza Strip from ongoing Israeli attacks has risen to 30,631, the Hamas-run Health Ministry said on Tuesday.(Photo: Xinhua)",Author details not found,Author details not found,"{'Al - Maghazi': ('LOC', 3), 'Gaza': ('LOC', 9), 'Palestine': ('LOC', 7), 'Israel': ('LOC', 8), 'Hamas': ('MISC', 6), 'Health Ministry': ('ORG', 4), 'Xinhua': ('ORG', 5), 'Ministry of Foreign Affairs': ('ORG', 1)}"
7,China expresses disappointment after US used veto on a cease-fire in Gaza for a fourth time,Global Times,2024-03-06,"China is deeply disappointed that the UN's call for a cease-fire had been forcibly blocked by the United States for a fourth time, Geng Shuang, China's deputy permanent representative to the UN, said in a statement on Tuesday.  As the Muslim holy month of Ramadan approaches, the international community must push for an immediate cease-fire and an end to the conflict with the strongest sense of urgency and the greatest political determination.According to the statement, the current results of the Council's vote clearly show that the vast majority of Council members are unanimous on the issue of a cease-fire in Gaza, while the US exclusively abused its veto power to stifle the Council's consensus, which has caused widespread discontent in the international community. Geng said that the immediate cease-fire in Gaza is necessary to save innocent civilians, a prerequisite for humanitarian relief and a key to avoid further escalation and proliferation of the conflict. International community has to push for an immediate cease-fire to preserve the hope of survival for the people of Gaza. ""We urge Israel to immediately reverse its course, cancel its plan of attack on Rafah, stop its military assault on Gaza and end its forced transfer and collective punishment of the Palestine community,""  Geng said. ""We call on the countries concerned to put aside geostrategic and domestic political considerations, to be truly impartial and responsible, and to make the right choice and play a constructive role in promoting a cease-fire in Gaza.""Gaza, which remains under fire, is facing an unprecedented humanitarian disaster, with extreme shortages of survival supplies. Nearly 600,000 people are on the brink of starvation and social order is on the verge of collapse. Geng said that China urges Israel, as the occupying party, to fulfill its obligations under international law by guaranteeing the safe, rapid and unimpeded entry of sufficient humanitarian supplies and by taking practical measures to safeguard the safety of humanitarian agencies and personnel and provide them with the necessary facilities to carry out their relief work. Geng said that resolutions 2712 and 2720 adopted by the Council must be fully implemented.Geng emphasized that the two-state solution is the only viable way to resolve the Hamas-Israel conflict. The recent public rejection of the two-state solution by some Israel political figures and the rejection of any international efforts to realize an independent Palestine State are alarming. ""China calls for intensified international and regional diplomatic efforts to reshape a credible multilateral process, revitalize the political prospects for the two-state solution and restart direct negotiations between Palestine and Israel,"" Geng said. ""We advocate the convening of an international peace conference of greater scale, scope and effectiveness. We support Palestine's full membership in the UN as soon as possible.""China will continue to work with the international community to maintain unremitting efforts to put an end to the fighting in Gaza, and alleviate the humanitarian disaster, to implement the two-state solution and to realize long-term peace and security in the Middle East, Geng said.Global Times",CHINA,DIPLOMACY,"People check the rubble of a building destroyed in an Israeli air strike in the southern Gaza Strip city of Rafah, on Feb. 16, 2024. Palestinian medical sources told Xinhua that at least 11 Palestinians were killed in Israeli airstrikes on Rafah, Gaza's southernmost city on Friday. (Photo by Khaled Omar/Xinhua)",Author details not found,Author details not found,"{'China': ('LOC', 4), 'United States': ('LOC', 1), 'Ramadan': ('LOC', 1), 'Gaza': ('LOC', 6), 'US': ('LOC', 1), 'Israel': ('LOC', 4), 'Rafah': ('LOC', 1), 'Palestine': ('LOC', 2), 'UN': ('ORG', 2), 'Council': ('ORG', 4), 'Hamas': ('ORG', 1), 'Geng Shuang': ('PER', 4), 'Muslim': ('MISC', 1)}"
8,Why public trust in politicians hits spectacular low in the UK,Mark Blacklock,2024-03-06," Nobody who has watched British civic life in recent years will have been in the least bit surprised that a recent study by the country's Office for National Statistics (ONS) has found only 12 percent of the public trust their politicians, a spectacular low. People feel increasingly alienated from those who are supposed to have been elected to represent their interests. Worse, they feel unable to influence the heedless parliamentary apparatus which seems to be being used to serving the politicians more than it serves the people.The job of the ONS is to gather, process and analyze data about the United Kingdom's economy, society and population, and is widely regarded as a professional and impartial authority. This makes the findings of its annual Trust in Government survey so striking. The collapse in trust in political parties is an unimpressive 12 percent this year, which is down from an already lamentable 20 percent in the previous analysis. The proportion of adults trusting the government itself also fell - from 35 percent to 27 percent - and trust in parliament, the institution where the politicians operate, plummeted from 34 percent to 24 percent. These figures echo a study from a market research company last year, which said only 9 percent of people trusted their politicians to tell the truth (the lowest level in 40 years). The inevitable conclusion to be drawn is that most Britons think that the political class that has the power to make decisions that control their lives are liars.One reason the UK public is so disillusioned with their politics is the prevailing doctrine which favors political centrism. Party leaders are reluctant to appear too leftist or rightist for fear of driving support away, so they gravitate toward the center. These are not the politics of conviction or ideology, but of opportunity for self-serving individuals who are willing to change their policies and even opinions to give themselves the best chance of winning. A general election is expected in Britain this year, in a country that has essentially been a two-party system for generations. The Conservative and Labour parties are electorally dominant and regularly alternate in government, largely because of the country's outdated, unfair and anti-democratic first-past-the-post electoral system, which works to marginalize and exclude voices outside of the center. This makes it difficult for other relevant parties, such as the Greens and especially smaller groups such as communists, to be represented in Westminster.This feeling of alienation from the process of government is exacerbated by the closeness of the two main parties. At the election, there will be little to choose between the main party's candidates in important aspects of policy. In fact, Rishi Sunak's Tories and Keir Starmer's Labour have recently accused each of stealing the other's policies and mimicking standpoints. Neither of them spoke out against the war in Gaza, for example, until it had been raging for months. Both parties have declared support for rules that prevent families from receiving a state benefit for more than two children - something that affects many low-income households.At the other extreme, both parties are prepared to lift a cap on bankers' bonuses - something which was devised to discourage reckless investment behavior - and allow them to make unlimited payments. Both parties have also declared the need to continue with austerity-style policies which are blamed for the declining nature of Britain's economy. Both parties favor cracking down on illegal immigration, and approve of higher defense spending, keeping the Trident nuclear deterrent (despite a recent failed test-firing of one of the ￡17m missiles) and continued support for Ukraine.If the people, despairing at the lack of choice among those who seek to govern them, should dare to speak out and protest, the establishment has been devoting a lot of time and effort into devising laws aimed at discouraging and restricting demonstrations. The temperature has been further raised by the politicians themselves complaining that the strength of dissent has put them in danger. They call protest marches ""hate marches."" If there is one that the people hate, it is being lied to and not being served by those whose job it is to serve them. And that is why so few people trust or believe them.The author is a journalist and lecturer living in Britain. opinion@globaltimes.com.cn",OPINION,VIEWPOINT,UK Illustration: Chen Xia/GT,Author details not found,Author details not found,"{'British': ('MISC', 1), 'Brito': ('MISC', 1), 'Conservative': ('MISC', 1), 'Office for National Statistics': ('ORG', 1), 'ONS': ('ORG', 2), 'Trust in Government': ('ORG', 1), 'Labour': ('ORG', 1), 'Greens': ('ORG', 1), 'Westminster': ('ORG', 1), 'United Kingdom': ('LOC', 1), 'UK': ('LOC', 1), 'Britain': ('LOC', 1)}"
9,"Harris' rebuke of Israel lays bare 
'embarrassment of Biden admin'",Fan Anqi,2024-03-05,"In what appears to be ""the strongest rebuke"" of its close ally made yet by a senior leader in the US government, Vice President Kamala Harris on Sunday bluntly called out Israel for the ""inhuman"" conditions it has caused that made Gaza a ""humanitarian catastrophe,"" according to media reports.Harris urged an ""immediate cease-fire"" in Gaza for at least the next six weeks, a deal that White House officials said Israel is close to accepting. ""The Israel government must do more to significantly increase the flow of aid. No excuses,"" the US' No.2 political figure said.However, according to a local newspaper, Israel boycotted Gaza cease-fire talks in Cairo on Sunday, citing reasons from Hamas over a list of hostages.On the same day, Israel strike on an aid distribution truck carrying food to displaced Gaza residents killed at least nine people and wounded many others, Al Jazeera reported.""The latest episode has shown just how embarrassing the situation is now for the Joe Biden administration, which gives people the impression that US policy-makers are having 'mental disorders'…if they keep sticking up for Israel despite global outrage, it will further tarnishing the image of the US, and more importantly, losing the Saudi Arabia-US voters in key swing states as Joe Biden seeks re-election,"" Li Haidong, a professor at the China Foreign Affairs University, told the Global Times on Monday. While Harris' call is seen as a desperate attempt to try and ""stop the bleeding"" from yet another major misstep in the incumbent's foreign policy, Joe Biden has found it hard to rein in Israel, Li said. ""The world is watching the power play between these two strange bedfellows.""Lü Xiang, a research fellow at the China Academy of Social Sciences, added that the internal spat over Gaza issue indicates that the US is struggling with resource allocation because they do not have enough to support the simultaneous mobilization of several pawns, including Israel in the Middle East, Ukraine against Russia and China's Taiwan. The insufficiency has led to voices within the Democrats to drop the current Israel policy, while giving the Republican a weapon to attack Joe Biden for being weak, Lü noted. Harris' comments came just two days ahead of ""Super Tuesday,"" which is considered one of the most important dates on the US political calendar when the largest number of states will hold their presidential primaries and caucuses.During the Democratic primary in Michigan last week, more than 100,000 voters cast a vote for ""uncommitted"" in a ground-breaking move to denounce Joe Biden's ""unwavering"" support for Israel.Although this ""Super Tuesday"" seems exceptionally insignificant as the presidential candidates of both parties have already become evident, this round of elections will serve as a crucial indicator for the official showdown between the two at the end of the year, experts said. Judging by a new poll by The New York Times and Siena College, Joe Biden trails behind former US president Donald Trump by five percent in the national survey of registered voters.""Joe Biden's campaign does not look promising. It is sad that Joe Biden's foreign policy, which had been regarded an advantage of his over Donald Trump, has now become his biggest liability. Starting from the Afghan troop withdrawal, to the Ukraine crisis and now the Gaza crisis, each decision he made resulted in a decline of his approval ratings,"" Lü said. In contrast, Donald Trump is taking the lead in almost every topic of the election race, experts noted. Furthermore, despite being embroiled in legal battles, Donald Trump is using this to promote conspiracy theories by portraying himself as a ""victim"" and rallying support among grassroots Republican voters, thus weakening challengers within the party, while gaining sympathy votes from outside the party.No matter who wins the final race, Li said, the US' foreign policy is always a result of political infighting, featuring a high degree of instability in handling global affairs. The toxic environment of opposition and confrontation in its domestic politics will risk paralyzing the whole international affairs in which the US interferes, the expert warned.",CHINA,POLITICS,"The Nasser Hospital is seen in the southern Gaza Strip city of Khan Younis, Feb. 28, 2024. Nasser Hospital, the second-largest hospital in Gaza Strip, stopped operating after an Israeli military operation on Feb. 15.(Photo: Xinhua)",Author details not found,Author details not found,"{'US': ('LOC', 7), 'Israel': ('LOC', 9), 'Gaza': ('LOC', 5), 'White House': ('LOC', 1), 'Cairo': ('LOC', 1), 'Middle East': ('LOC', 1), 'Ukraine': ('LOC', 1), 'Russia': ('LOC', 1), 'China': ('LOC', 1), 'Taiwan': ('LOC', 1), 'Kamala Harris': ('PER', 4), 'Joe Biden': ('PER', 3), 'Li Haidong': ('PER', 2), 'Lü Xiang': ('PER', 1), 'Hamas': ('ORG', 1), 'Al Jazeera': ('ORG', 1), 'China Foreign Affairs University': ('ORG', 1), 'Global Times': ('ORG', 1), 'China Academy of Social Sciences': ('ORG', 1), 'Saudi Arabia': ('MISC', 1), 'Democrats': ('MISC', 1), 'Republican': ('MISC', 1), 'B': ('MISC', 1)}"
