variation,standard
Israel,Israel
Israeli,Israel
Jerusalem,Jerusalem
East Jerusalem,Jerusalem
Palestine,Palestine
Palestinian,Palestine
Palestinians,Palestine
State of Palestine,Palestine
Palestinian Nakba Day,Palestinian Nakba
Palestinian Nakba,Palestinian Nakba
Nakba Day,Palestinian Nakba
Gaza,Gaza
Gaza Strip,Gaza
Gaza City,Gaza
Southern Gaza,Gaza
Southern Gaza Strip,Gaza
Israeli-Palestinian,Palestinian-Israeli Conflict
Palestinian-Israeli,Palestinian-Israeli Conflict
Palestinian-Israeli Conflict,Palestinian-Israeli Conflict
China,China
Chinese,China
Egyptian,Egypt
EU,EU
European,EU
Europe,EU
American,US
Americans,US
Lebanese,Lebanon
Russian,Russia
Syrian,Syria
French,France
Iranian,Iran
Turkish,Turkey
Saudi Arabia,Saudi Arabia
Saudi,Saudi Arabia
Arab,Saudi Arabia
Republican,Republican
Republicans,Republican
West,West
Western,West
German,Germany
Ukrainian,Ukraine
UN,UN
UN Security Council,UN
Security Council,UN
UNRWA,UN
UN General Assembly,UN
United Nations,UN
UNSC,UN
United Nations Relief and Works Agency for Palestine Refugees,UN
United Nations Security Council,UN
UN World Food Programme,UN
UN Development Programme,UN
UN Relief and Works Agency for Palestine Refugees,UN
Global Times,Global Times
GT,Global Times
IDF,IDF
Israel Defense Forces,IDF
NATO,NATO
North Atlantic Treaty Organization,NATO
CPC Central Committee,CPC Central Committee
Communist Party of China Central Committee,CPC Central Committee
Health Ministry,Health Ministry
Ministry of Health,Health Ministry
Palestinian Health Ministry,Health Ministry
Palestinian Ministry of Health,Health Ministry
Xinhua,Xinhua
Xinhua News Agency,Xinhua
Xinh,Xinhua
Vladimir Putin,Vladimir Putin
Putin,Vladimir Putin
Joe Biden,Joe Biden
Biden,Joe Biden
Donald Trump,Donald Trump
Trump,Donald Trump
Benjamin Netanyahu,Benjamin Netanyahu
Benjamin,Benjamin Netanyahu
Eid Al-Adha,Eid Al-Adha
Adha,Eid Al-Adha
Mediterranean,Mediterranean
Mediterranean Sea,Mediterranean
Naif bin Bandar Al - Sudairi,Naif bin Bandar Al - Sudairi
Al - Sudairi,Naif bin Bandar Al - Sudairi
Naif bin Bandar Al,Naif bin Bandar Al - Sudairi
Rizek Abdeljawad,Rizek Abdel Jawad
Rizek Abdelja,Rizek Abdel Jawad
Rizek Abdel,Rizek Abdel Jawad
Palestinian Islamic Jihad,Palestinian Islamic Jihad
PIJ,Palestinian Islamic Jihad
Palestine Liberation Organization,Palestine Liberation Organization
PLO,Palestine Liberation Organization
Xi Jinping,Xi Jinping
Xi,Xi Jinping
VCGEdit,VCG
Joint Arab - Islamic Extraordinary Summit,Joint Arab Islamic Extraordinary Summit
Joint Arab Islamic Extraordinary Summit,Joint Arab Islamic Extraordinary Summit
Joe B,Joe Biden
Palestinian Islamic Ji,Palestinian Islamic Jihad
China -,China
EU Union,EU
Israel -,Israel
BRI,BRI
Belt and Road Initiative,BRI
