variation,standard
Ukraine,Ukraine
Ukrainian,Ukraine
Russia,Russia
Russian,Russia
Russians,Russia
Russia Federation,Russia
China,China
Chinese,China
Israel,Israel
Israeli,Israel
Palestine,Palestine
Palestinian,Palestine
US,US
US',US
United States,US
America,US
American,US
Americans,US
Europe,EU
European,EU
European Union,EU
EU,EU
Eastern Europe,EU
Eastern European,EU
Western Europe,EU
Winter Olympic Games,Winter Olympic Games
2022 Olympic Winter Games,Winter Olympic Games
2022 Winter Olympic Games,Winter Olympic Games
2022 Winter Olympics,Winter Olympic Games
Olympic Games,Winter Olympic Games
Winter Games,Winter Olympic Games
Winter Olympics,Winter Olympic Games
Olympic Winter Games Beijing 2022,Winter Olympic Games
Beijing 2022 Olympic Winter Games,Winter Olympic Games
Beijing Olympic Games,Winter Olympic Games
Beijing Winter Olympics,Winter Olympic Games
Olympic Winter Games,Winter Olympic Games
Beijing Winter Olympic Games,Winter Olympic Games
Paralympic Winter Olympic Games,Winter Olympic Games
Winter Olympic Games Beijing 2022,Winter Olympic Games
Beijing 2022 Paralympic Winter Games,Winter Olympic Games
Beijing Olympic and Paralympic Winter Games,Winter Olympic Games
the Beijing Winter Olympic Games,Winter Olympic Games
NATO,NATO
North Atlantic Treaty Organization,NATO
NATO Council,NATO
UK,UK
British,UK
Britain,UK
UN,UN
United Nations,UN
United Nations Security Council,UN
UN Security Council,UN
UN General Assembly,UN
UN Human Rights Council,UN
Security Council,UN
Japan,Japan
Japanese,Japan
Indian,India
Vladimir Putin,Vladimir Putin
Putin,Vladimir Putin
Joe Biden,Joe Biden
Biden,Joe Biden
Washington,US
Western,West
West,West
East China,China
Northwest China,China
South China,China
Western Ukraine,Ukraine
Donald Trump,Donald Trump
Trump,Donald Trump
GT,Global Times
AFP,Agence France-Presse
Turkish,Turkey
French,France
German,Germany
Asian,Asia
Australian,Australia
Egyptian,Egypt
South Asian,Asia
CPC Central Committee,CPC Central Committee
Communist Party of China Central Committee,CPC Central Committee
Donetsk,Donetsk
Donetsk People's Republic,Donetsk
Lugansk People's Republic,Lugansk
Wang Yi,Wang Yi
Volodymyr Zelensky,Volodymyr Zelensky
Zelensky,Volodymyr Zelensky
Antony Blinken,Antony Blinken
Blinken,Antony Blinken
Joe,Joe Biden
Joe B,Joe Biden
Xi Jinping,Xi Jinping
Xi,Xi Jinping
Boris Johnson,Boris Johnson
Johnson,Boris Johnson
Old EU,EU
New EU,EU
People's Republic of China,China
COVID-19,COVID-19
COVID,COVID-19
19,COVID-19
the COVID-19,COVID-19
Sergey Lavrov,Sergey Lavrov
Sergei Lavrov,Sergey Lavrov
African,Africa
Belarusian,Belarus
Brazilian,Brazil
Italian,Italy
Canadian,Canada
Polish,Poland
Serbian,Serbia
Iranian,Iran
World War II,World War II
WWII,World War II
South Korean,South Korea
Neo-Nazi,Neo-Nazi
Neo-Nazis,Neo-Nazi
Wang Wen,Wang Wenbin
Frank-Walter Steinmeier,Frank-Walter Steinmeier
Walter Steinmeier,Frank-Walter Steinmeier
Frank-Frank-Walter Steinmeier,Frank-Walter Steinmeier
Steinmeier,Frank-Walter Steinmeier
Wu Weishan,Wu Weishan
Wu Wei,Wu Weishan
Emmanuel Dennis,Emmanuel Dennis
IC Emmanuel Dennis,Emmanuel Dennis
Organization for Security and Cooperation in Europe,Organization for Security and Cooperation in EU
Organization for Security and Co-operation in Europe,Organization for Security and Cooperation in EU
the Organization for Security and Co-operation in Europe,Organization for Security and Cooperation in EU
The Russian Federation Council,Russia
the Russian Federation's,Russia
Russian Federation's,Russia
the Russian Federation,Russia
Wu,Wu Weishan
Wu's,Wu Weishan
Liz Truss,Elizabeth Truss
Elizabeth Truss,Elizabeth Truss
Truss',Elizabeth Truss
Truss,Elizabeth Truss
Carli Llyod,Carli Llyod
Llyod's,Carli Llyod
