article_title,author,published_time,article_text,article_category_one,article_category_two,picture_description,author_title,author_description,sentence_count,word_count,pos_count
Various celebrations held across world to celebrate Mid-Autumn Festival,Xinhua,2023-09-29," Musicians perform during a Mid-Autumn Festival themed event at the China Cultural Center in Tel Aviv, Israel, Sept. 27, 2023. Various celebrations are held across the world with the approaching of Mid-Autumn Festival. (Xinhua/Chen Junqing) Actors perform at a gala celebrating the Mid-Autumn Festival in Hanoi, Vietnam, Sept. 20, 2023. Various celebrations are held across the world with the approaching of Mid-Autumn Festival. (Xinhua/Hu Jiali) People taste mooncakes during a Mid-Autumn Festival themed event at the China Cultural Center in Tel Aviv, Israel, Sept. 27, 2023. Various celebrations are held across the world with the approaching of Mid-Autumn Festival. (Xinhua/Chen Junqing) A woman takes photos of mooncakes during a Mid-Autumn Festival themed event at the China Cultural Center in Tel Aviv, Israel, Sept. 27, 2023. Various celebrations are held across the world with the approaching of Mid-Autumn Festival. (Xinhua/Chen Junqing) A person practices Chinese calligraphy during an event celebrating the Mid-Autumn Festival held by the Confucius Institute at the University of Latvia in Riga, Latvia, Sept. 25, 2023. Various celebrations are held across the world with the approaching of Mid-Autumn Festival. (Photo by Janis/Xinhua)",PHOTO,WORLD,"Australian youths sing Chinese version of the song ""Auld Lang Syne"" during a cultural evening to celebrate the upcoming Mid-Autumn Festival and Chinese National Day in Canberra, Australia, Sept. 23, 2023. Various celebrations are held across the world with the approaching of Mid-Autumn Festival. (Xinhua/Zhang Jianhua)",Author details not found,Author details not found,15,154,<FreqDist with 11 samples and 97 outcomes>
First Saudi ambassador to Palestine arrives in West Bank,Xinhua,2023-09-27," 

Saudi ambassador to Palestine Naif bin Bandar Al-Sudairi speaks during a joint press conference at the Palestinian foreign ministry headquarters in the West Bank city of Ramallah, on Sept. 26, 2023.(Photo: Xinhua) 



 The first Saudi ambassador to Palestine Naif bin Bandar Al-Sudairi arrived in the West Bank on Tuesday, the official Palestinian news agency WAFA reported.Leading an official delegation, Al-Sudairi, the non-resident ambassador to Palestine and non-resident consul general in Jerusalem, presented his credentials to Palestinian President Mahmoud Abbas at the presidency headquarters in Ramallah, it said.Al-Sudairi's arrival comes amid Israel's efforts to normalize relations with Saudi Arabia.During their meeting, Abbas welcomed Al-Sudairi and said his visit to Palestine and his appointment as Saudi ambassador to the State of Palestine would contribute to ""strengthening the strong fraternal relations that bind the two countries and the two brotherly peoples.""The Saudi ambassador said he hoped that his visit would be ""a successful beginning for strengthening relations in all fields,"" stressing his country's firm and supportive positions for the Palestinian people and their just cause.Earlier in the day, Al-Sudairi told reporters in a statement that ""the Arab Peace Initiative is the basic point in any upcoming agreement,"" after being asked about the fate of the initiative in the event of reaching a normalization deal between Saudi Arabia and Israel.The Arab Peace Initiative was launched in 2002 after it was drafted by Saudi Arabia and adopted by the Arab League.The initiative calls for an end to the conflict between Israel and Palestine and the normalization of relations between Israel and Arab states, in exchange for an Israeli withdrawal from the areas it gained since 1967 and proper settlement to the issue of Palestinian refugees.The Palestinians demanded the establishment of an independent state alongside Israel in all of the Palestinian territories occupied by Israel in 1967, including the entire West Bank and the Gaza Strip, with East Jerusalem as its capital.The Saudi ambassador also confirmed that his country intends to open a consulate in East Jerusalem soon.",PHOTO,WORLD,"Saudi ambassador to Palestine Naif bin Bandar Al-Sudairi (Front) arrives at the Palestinian foreign ministry headquarters in the West Bank city of Ramallah, on Sept. 26, 2023.(Photo: Xinhua)",Author details not found,Author details not found,12,313,<FreqDist with 15 samples and 181 outcomes>
China releases a white paper on its proposals and actions on building a global community of shared future,GT staff reporters,2023-09-26," The Chinese government released a white paper on Tuesday to introduce the theoretical base, practice and development of a global community of shared future, as by presenting China's vision of the course of human development, it counters the hegemonic thinking of certain countries that seek supremacy. The white paper, titled ""A Global Community of Shared Future: China's Proposals and Actions,"" introduced the background for China to raise the concept of a global community of shared future as the world is undergoing changes on a scale unseen in a century with various problems posing unprecedented challenges for human society. The zero-sum game is doomed to fail, the white paper said. But certain countries still cling to this mindset, blindly pursuing absolute security and monopolistic advantages, which will do nothing for their development in the long run but create a major threat to the world. It is increasingly obvious that the obsession with superior strength, and the zero-sum mentality are in conflict with the needs of our times, the white paper said, pointing out that the new era calls for new ideas. To build a global community of shared future is to pursue openness, inclusiveness, mutual benefit, equity and justice, the white paper said. The goal is not to replace one system or civilization with another. Instead, it is about countries with different social systems, ideologies, histories, shared rights, and shared responsibilities in global affairs. The vision of a global community of shared future stands on the right side of history and on the side of human progress. It introduces a new approach for international relations, provides new ideas for global governance, opens up new prospects for international exchanges and draws a new blueprint for a better world, according to the white paper. Such important vision transcends outdated mindsets such as zero-sum game, power politics, and Cold War confrontations. It has become the overall goal of China's major-country diplomacy in the new era, and a great banner that leads the trend of the times and the direction of human progress. The concept of a global community of shared future has deep roots in China's profound cultural heritage and its unique experience of modernization. It carries forward the diplomatic traditions of China and draws on the outstanding achievements of all other civilizations, the white paper said. It also manifests China's time-honored historical traditions, distinct characteristics of the times, and a wealth of humanistic values.  The white paper also pointed out the direction and plan to build a global community of shared future including pressing ahead with a new type of economic globalization in which countries need to pursue a policy of openness and explicitly oppose protectionism, the erection of fences and barriers, unilateral sanctions, and maximum-pressure tactics, so as to connect economies and jointly build an open world economy. Some countries are seeking to decouple from China, enclosing themselves in ""small yards, high fences,"" which will ultimately only backfire, the white paper said. Also, some people overstate the need to ""reduce dependence"" and ""de-risk,"" which is essentially creating new risks. The direction and the plan also include following a peaceful development plan, fostering a new type of international relations, practicing true multilateralism and promoting the common values of humanity. Over the past decade, China has contributed its strength to building a global community of shared future with firm conviction and solid actions. For instance, by July 2023, more than three-quarters of countries in the world and over 30 international organizations had signed agreements on Belt and Road cooperation with China. The BRI originated in China but the opportunities and achievements it creates belong to the whole world. It's an initiative for economic cooperation, not for geopolitical or military alliances, and it's open and inclusive process that neither targets nor excludes any party, the white paper said. Among those BRI projects, for example, the China-Laos Railway began operation on December 3, 2021, with 167 tunnels and 301 bridges built in 11 years along its total length of 1,035 kilometers. The railway construction created more than 110,000 local jobs, and helped build about 2,000 kilometers of roads and canals for villages along the railway, benefiting local people. Besides the BRI, the Global Development Initiative, the Global Security Initiative and Global Civilization Initiative have evolved into a crucial cornerstone for building a global community of shared future, offering China's solutions to major challenges pertaining to peace and development for humanity. Facing constant flare-ups of hotspot issues, China has been committed to fulfilling its role as a responsible major country, pushing for the resolution of international and regional flashpoints, such as the Korean Peninsula, Palestine, the Iranian nuclear issue, Syria and Afghanistan, the white paper said. On the Ukraine issue, China has actively promoted talks for peace, put forth four points, four things that the international community should do together and three observations, and released China's position on the political settlement of the Ukraine crisis and has dispatched the special representative of the Chinese government on Eurasian affairs to engage in extensive interactions and exchanges with stakeholders on the political settlement of the Ukraine crisis. Also, through the mediation of China, Saudi Arabia and Iran achieve historic reconciliation earlier this year, setting a fine example for countries in the region to resolve disputes and differences and achieve good neighborly relations through dialogue and consultation, and catalyzing a wave of reconciliation in the Middle East. China has also proposed a range of regional and bilateral initiatives on building communities of shared future and working with stakeholders to build consensus and expand cooperation, there by playing a constructive role in promoting regional peace and development. It also boosts international cooperation in fields including fighting the COVID-19 pandemic, addressing disorder in cyberspace governance and dealing with the global climate challenge. Over the past decade, the vision of a global community of shared future has gained broader support. More countries and people have come to the understanding that this vision serves the common interests of humanity, represents popular calls for peace, justice and progress, and can create the greatest synergy among all nations for building a better world, the white paper said.",CHINA,POLITICS,Photo: Li Xuanmin/GT,Author details not found,Author details not found,33,1000,<FreqDist with 17 samples and 603 outcomes>
"Kaparot ceremony in Tel Aviv, Israel",Xinhua,2023-09-22," 

Ultra Orthodox Jews perform the Kaparot ceremony, where white chickens are slaughtered as a symbolic gesture of atonement ahead of Yom Kippur, the Jewish Day of Atonement, in Beit Shemesh, Israel, on Sept. 20, 2023.(Photo: Xinhua) 



An Ultra-Orthodox Jew holds a white chicken for the Kaparot ceremony, where white chickens are slaughtered as a symbolic gesture of atonement ahead of Yom Kippur, the Jewish Day of Atonement, in Bnei Brak, a suburb of Tel Aviv, Israel on Sept. 20, 2023.(Photo: Xinhua)",PHOTO,WORLD,"Ultra Orthodox Jews perform the Kaparot ceremony, where white chickens are slaughtered as a symbolic gesture of atonement ahead of Yom Kippur, the Jewish Day of Atonement, in Bnei Brak, a suburb of Tel Aviv, Israel on Sept. 20, 2023.(Photo: Xinhua)",Author details not found,Author details not found,4,76,<FreqDist with 9 samples and 49 outcomes>
"1,100 Gazan kidney patients facing drug shortage: ministry",Xinhua,2023-09-21," 

A young Palestinian patient receives treatment at the dialysis department of a hospital in Gaza City, Sept. 20, 2023. At least 1,100 Palestinian kidney patients are facing an interruption of life-saving treatment due to a lack of medicines and medical equipment in the coastal enclave, the Hamas-run Health Ministry said on Wednesday(Photo: Xinhua) At least 1,100 Palestinian kidney patients are facing an interruption of life-saving treatment due to a lack of medicines and medical equipment in the coastal enclave, the Hamas-run Health Ministry said on Wednesday.They include 38 children who are in danger of being denied access to dialysis sessions, Ashraf Abu Mahdi, director of the pharmacy department in the Health Ministry, said in a press conference held in Gaza.""Patients with kidney failure are forced to live in difficult health conditions as medical supplies will be used up soon,"" Abu Mahdi added.Abu Mahdi indicated that stores run by the ministry in Gaza are short of related medical supplies, and the hospitals in Gaza provide 13,000 dialysis sessions for patients per month.He accused Israel of ""banning the transport and shipment of medical supplies to the hospitals of the coastal enclave, putting the lives of thousands of kidney patients at risk.""Israel has imposed a tight blockade on the Gaza Strip, home to more than 2 million people, since the Hamas movement seized control of the enclave in 2007, widely blamed by Gazans for their poverty and hardship.",PHOTO,WORLD,"A young Palestinian patient receives treatment at the dialysis department of a hospital in Gaza City, Sept. 20, 2023. At least 1,100 Palestinian kidney patients are facing an interruption of life-saving treatment due to a lack of medicines and medical equipment in the coastal enclave, the Hamas-run Health Ministry said on Wednesday.(Photo: Xinhua)",Author details not found,Author details not found,8,222,<FreqDist with 14 samples and 134 outcomes>
F-35: Closer Look at Colossally Costly Jet That Just Can’t Seem to Stay Airborne,Sputnik,2023-09-21,"A US Marine Corps F-35B went down over South Carolina on Sunday after its pilot ejected mid-flight for reasons unknown. Why do F-35s seem so crash-prone? What’s wrong with them? And what role does the waste and fraud in the US military-industrial complex play in creating such a Frankenstein’s monster of an aircraft? Sputnik explores.Debris from the F-35B that went missing over South Carolina on September 17 was found in Williamsburg County, South Carolina, about two hours northeast of Joint Base Charleston on Monday following more than a day of frantic searching by the military. An as yet unspecified “mishap” was blamed for the accident. The pilot escaped unscathed.“The mishap is currently under investigation, and we are unable to provide additional details to preserve the integrity of the investigative process,” the Marine Corps said in a statement Monday. The Marines ordered a two-day global pause in all aerial operations, with the errant F-35B becoming the third major aviation-related accident suffered by the military branch in less than two months.Air units will be discussing “fundamentals of safe flight operations, ground safety, maintenance and flight procedures, and maintaining combat readiness,” the Marine Corps said.How Many F-35s Have Been Lost?Since it started being introduced into service with the Marines (2015), the US Air Force (2016), and the US Navy (2019) and began to be exported to foreign clients (starting with Israel in 2018), the F-35 has gained an unenviable reputation of being a costly, buggy, and crash-prone jet, with the F-35B that went down over South Carolina last week being at least the 11th Lightning II lost since 2018.On September 28, 2018, a US Marine Corps F-35B crashed during a flight near Marine Corps Air Station Beaufort in South Carolina, with a faulty fuel tube blamed for the incident. The pilot emerged unscathed.On April 9, 2019, a Japanese Self- Defense Force F-35A went down off Honshu, Japan. The pilot was killed after losing his bearings and suffering “special disorientation” mid-flight over the ocean.On May 19, 2020, a US Air Force F-35A from the 58th Fighter Squadron crashed while performing a landing at Eglin Air Force Base in western Florida. Pilot error (trying to land at excessive speed) and a mechanical defect related to a flight control glitch that left the plane’s tail unresponsive were blamed. The pilot survived.On September 29, 2020, a US Marine Corps F-35B was lost over Imperial County, California after colliding with a KC-130 tanker during midflight refueling. The tanker crew managed to bring their aircraft down for a hard landing. The F-35 pilot ejected successfully.On November 17, 2021, a British Royal Air Force F-35B plunged into the Mediterranean Sea after its pilot ejected during routine operations. That crash was ultimately blamed on a protective cover getting wedged into the plane’s engine intake.On January 4, 2022, a South Korean Air Force F-35A suffering from issues with its onboard avionics carried out an emergency belly landing. Investigators blamed a bird striking the warplane’s landing gear mid-flight. The pilot emerged unharmed.On January 24, 2022, a US Navy F-35C plunged into the South China Sea after making a hard landing on the USS Carl Vinson super carrier. The pilot and six sailors on the deck of the aircraft carrier were injured. A Navy investigation attributed the incident to pilot error.On October 19, 2022, another F-35, this one from the US Air Force, crashed at Hill Air Force Base in Utah during a training mission. The pilot ejected safely. It was later determined that turbulent air somehow confused the jet’s onboard avionics to the point where the aircraft became uncontrollable.On December 1, 2022, a Marine Corps F-35B collapsed on a military base in Japan after suffering a landing gear failure during training. No one was injured.Finally, on December 15, 2022, a US Navy F-35B crashed while attempting to perform a vertical landing at Naval Air Station Joint Reserve Base Fort Worth in Texas during testing of the jet’s systems. A “harmonic resonance” issue related to the jet’s Pratt & Whitney F135 engine was blamed, with the Pentagon halting further F-35 deliveries by Lockheed until an investigation was concluded.What’s Wrong With the F-35?Nearly 17 years after the F-35’s first flight, and eight years after its adoption into service, the F-35 continues to maintain a troublingly long list of technical bugs affecting both hardware and software. The aircraft, which has an astronomical total estimated purchase and sustainment price tag of over $1.7 trillion, and a per-plane cost of $70-$90 million, has faced years of harsh criticism from US officials, including former President Donald Trump at one point, who said the jet’s costs had spiraled “out of control.”At its heart, the F-35 is the product of an idea that metastasized in the Pentagon after the end of the Cold War, envisioning an all-in-one fighter platform which could be used by every branch of the military, equipped with vertical take-off and landing capability, and carry out a broad array of missions using a variety of onboard weapons. The do-it-all jet was supposed to replace nearly all of America’s fourth-gen fighter, strike, and ground attack aircraft, including the F-16 Falcon, the F/A-18 Hornet and Super Hornet, the AV-8B Harrier II, and others.The jet features just a single onboard engine – the aforementioned Pratt & Whitney F135, with engine-related troubles not only regularly referred to by watchdogs as a “leading driver” of the F-35’s problems remaining “mission capable,” but also making its operation over enemy territory or over the sea risky, since if something goes wrong, the plane doesn’t have a backup engine to limp home with.Throughout its production cycle, the F-35 Lightning II has suffered a dizzying and seemingly endless list of technical problems, from neck-snapping ejection seats to problems, ironically, while operating in stormy weather.In its 2023 report, the congressional Government Accountability Office revealed that the F-35 program “continues to experience schedule delays, cost growth, and late deliveries,” with procurement costs jumping by $13.4 billion since 2019, and modernization behind schedule and over budget.“As of January 2023, of the 821 open deficiencies, the program office characterized five of these as category 1 [i.e. critical issues which could jeopardize flight safety and security], and 816 as category 2, [i.e. those which could impede or constrain mission success].”In all, between December 2006 and 2023, the GAO has reported a whopping 277 category 1 and 2,467 category 2 deficiencies with the aircraft, among them serious issues like cabin over-pressurization, problems with the jets’ night vision systems, software bugs, radar issues, corrosion, ejection seats which could snap pilots’ necks, etc.Is a Culture of Largess to Blame?Sunday’s accident in South Carolina is the latest piece of F-35-related bad news for Lockheed Martin. In June, it was reported that the Pentagon had halted the delivery of any additional upgraded F-35s until major issues related to new Technology Refresh 3 (TR-3) hardware and weapons-related software were resolved. DoD F-35 program director Mike Schmidt told Congress in March that the risk assessment related to the TR-3 hardware upgrade wouldn’t be finished until April 2024.Despite the delays and array of technical problems, the weapons giant has continued to rack up generous contracts related to F-35 procurement and production. For example, in July, the US Navy ordered a $490 million package of equipment from Lockheed “to procure various material mod kits, special test/tooling equipment, as well as…product engineering” for already delivered, but defective planes. In August, Lockheed received another $606 million “fixed-price incentive (firm-target) undefinitized” contract “for long lead time materials, parts, components, and efforts to support of maintaining on-time production and delivery of 173 Lot 19 F-35 Joint Strike Fighter aircraft for Foreign Military Sales (FMS) customers and non-US Department of Defense (DOD) participants.”The terms of the contracts seem to be the culprit behind the F-35’s soaring costs (and Lockheed’s soaring profits, despite delivery of defective products), with so-called “cost-plus” and “undefinitized” contracts effectively making any overruns the buyer’s problem – i.e. that of US taxpayers, and of citizens of any country unfortunate enough to pen contracts for the planes from Lockheed.What About America’s Competitors?The worst part about the F-35’s troublesome history seems to be that the F-35 has already become ""obsolete"" in the sense that many of the US and NATO’s competitors have obtained the ability to defeat them, with Russia and China gaining capabilities to track and target the jets going back to the mid-to-late 2010s. In April, Iran announced that its engineers had created advanced radar technologies to not only detect F-35s, but identify the radar signature of individual F-35 planes, enabling the Islamic Republic to plan defensive operations accordingly.",WORLD,AMERICAS,Picture description not found,Author details not found,Author details not found,60,1305,<FreqDist with 18 samples and 775 outcomes>
Toxic explosion in Nebraska shows US unable to take issues affecting public security seriously: experts,Xu Yelu,2023-09-15,"Barely two months after an explosion in Louisiana, a train carrying toxic perchloric acid has exploded in a Nebraska rail yard on Thursday, prompting evacuation orders to be issued, as huge plumes are seen engulfing the city. Experts said the incident shows the US has been unable to take seriously and overcome major issues affecting public safety and the environment and ecology in the country.The incident happened on Union Pacific Railroad tracks in the city of North Platte. North Platte Volunteer Fire Department announced that they would order those living in the area to evacuate due to the toxic smoke from the railroad, according to media reports.In a post on social media platforms, it said that ""Emergency evacuation for the area between splinter and front North of railroad track due fire at the railroad involving heavy toxic smoke.""In a statement to DailyMail.com, Union Pacific Railroad said that an explosion occurred inside a container which resulted in several railcars catching fire. The railcar did not derail, the company said, and had been in the yard for several hours.Union Pacific said that one of the containers contained a hazardous chemical called perchloric acid, according to Daily Mail.Perchloric is a hazardous material used in food, drugs and biocidal products, as well as explosives, according to the report.Two months ago, a fire at a Louisiana chemical plant triggered explosions that shook homes several miles away and sent flames and smoke billowing into the air in mid-July, prompting emergency officials to urge a few hundred nearby residents to shelter indoors for several hours and to turn off their air conditioners, the Associated Press reported.Antiquated infrastructure and the outdated transportation were one factor. Another was a flawed system of governance in the US transport industry, experts noted. There is no doubt that the US has serious loopholes in the transportation management of hazardous substances, and the relevant error correction mechanism is in fact not effective, which means that this kind of thing will occur in the future, Li Haidong, a professor at the China Foreign Affairs University, told the Global Times on Friday.This shows that the US has been unable to take seriously and overcome serious and major issues affecting public safety and the environment and ecology in the country, Li said. ""It must be said that this is a great irony to the self-proclaimed internal governance of the most advanced country in the world.""Analysts said that the frequent occurrence of similar incidents shows that the error correction mechanism in the US has failed. Apart from this, racism and the proliferation of guns are also clear examples of the failure of error correction mechanisms, experts noted.",WORLD,AMERICAS,"A resident of East Palestine in the state of Ohio, US, angrily points during a town hall meeting held by the US
Environmental Protection Agency on March 2, 2023 over a train derailment that caused a leak of toxic chemicals in
February. Residents confronted the rail operator out of health fears. Photo: IC",Author details not found,Author details not found,18,432,<FreqDist with 16 samples and 256 outcomes>
Palestine sends rescue team to floods-hit eastern Libya,Xinhua,2023-09-14," 

A rescuer of a Palestinian rescue team prepares before departing for Libya, in the West Bank city of Ramallah, on Sept. 13, 2023. Palestine on Wednesday sent a rescue team to eastern Libya where was struck by devastating floods. According to official data, at least 5,300 people are feared dead and over 10,000 more missing after the floods, which were triggered by Mediterranean storm Daniel and hit eastern Libya on Sunday.(Photo: Xinhua) 



A rescuer of a Palestinian rescue team prepares before departing for Libya, in the West Bank city of Ramallah, on Sept. 13, 2023. Palestine on Wednesday sent a rescue team to eastern Libya where was struck by devastating floods. According to official data, at least 5,300 people are feared dead and over 10,000 more missing after the floods, which were triggered by Mediterranean storm Daniel and hit eastern Libya on Sunday.(Photo: Xinhua) Palestine on Wednesday sent a rescue team to eastern Libya where was struck by devastating floods.In a press statement sent to Xinhua, Ahmad al-Deek, political adviser at the Palestinian Foreign Ministry, said the 37-member team is leaving for Libya and will join local and international teams in rescue operations and provide aid and assistance.In addition, al-Deek said that the floods have left at least 23 Palestinians dead and dozens of others missing, adding that the ministry is consulting the Libyan authorities to follow up on the situation.According to official data, at least 5,300 people are feared dead and over 10,000 more missing after the floods, which were triggered by Mediterranean storm Daniel and hit eastern Libya on Sunday.",PHOTO,WORLD,"Rescuers of a Palestinian rescue team prepare before departing for Libya, in the West Bank city of Ramallah, on Sept. 13, 2023. Palestine on Wednesday sent a rescue team to eastern Libya where was struck by devastating floods. According to official data, at least 5,300 people are feared dead and over 10,000 more missing after the floods, which were triggered by Mediterranean storm Daniel and hit eastern Libya on Sunday.(Photo: Xinhua)",Author details not found,Author details not found,12,245,<FreqDist with 11 samples and 143 outcomes>
Armed clashes in Palestinian refugee camp intensify,Xinhua,2023-09-14," 

Displaced Palestinian children wait to move from a shelter in Sidon to a center of the United Nations Relief and Works Agency for Palestine Refugees (UNRWA) in Mount Lebanon Governorate, Lebaon, Sept. 12, 2023. The latest round of armed clashes between members of the Fatah Movement and Islamic militants in the Ain Al-Helweh Palestinian refugee camp broke out last Thursday evening and intensified in the following days.(Photo: Xinhua) 



 



Palestinians from Ain Al-Helweh camp prepare to move from a shelter in Sidon to a center of the United Nations Relief and Works Agency for Palestine Refugees (UNRWA) in Mount Lebanon Governorate, Lebaon, Sept. 12, 2023. The latest round of armed clashes between members of the Fatah Movement and Islamic militants in the Ain Al-Helweh Palestinian refugee camp broke out last Thursday evening and intensified in the following days(Photo: Xinhua)",PHOTO,WORLD,"Palestinians from Ain Al-Helweh camp prepare to move from a shelter in Sidon to a center of the United Nations Relief and Works Agency for Palestine Refugees (UNRWA) in Mount Lebanon Governorate, Lebaon, Sept. 12, 2023. The latest round of armed clashes between members of the Fatah Movement and Islamic militants in the Ain Al-Helweh Palestinian refugee camp broke out last Thursday evening and intensified in the following days.(Photo: Xinhua)",Author details not found,Author details not found,5,131,<FreqDist with 10 samples and 81 outcomes>
Greek scholar believes in ‘endless possibilities and vast land’ between China-Greece exchanges,Xu Liuliu,2023-09-14,"Chongqing, Sichuan, Shandong… Stelios Virvidakis expectantly plans his next China tour before a visit by the Global Times at his office in Athens, Greece. The University of Athens professor has grown far busier recently since he and four other Greek scholars launched the Center of Chinese and Greek Ancient Civilizations in February. Over the summer, the center has received two scholars from China who have given lectures on the history of China, and other visiting guests from places like Israel, who offered their views on Chinese medicine and its history, and a lecturer from France with insights in Chinese mathematics and how scholars in ancient China studied the living science.""Students found them to be very interesting and greatly appreciated the lectures,"" Virvidakis told the Global Times. ""Greece and China share so many similarities. So in my opinion, the horizon for our cooperation and exchanges is vast. There are endless possibilities which have not been explored.""Mutual learning Chinese President Xi Jinping replied to a letter from Virvidakis and four other Greek scholars earlier in 2023, extending congratulations over the founding of the Center of Chinese and Greek Ancient Civilizations.Hailing the long history of the Chinese civilization and profound influence of the ancient Greek civilization, Xi said in the letter that more than 2,000 years ago, the two civilizations shone brightly on the two ends of the Eurasian continent, jointly making a fundamental contribution to the evolution of human civilization.Greece's golden era produced many of its great philosophers and literary giants. The era coincided with a period in China in which ""a hundred schools of thought contended with each other"" and flourished together.As early as the 4th century BC, China was known to the Greeks by a beautiful name: Sērikḗ. In the 16th century, Euclid's Elements was introduced into China, paving the way for scientific exchanges between China and the West. The story of Prometheus narrated by Aeschylus was an inspiration to many Chinese revolutionaries. The Republic by Plato and Politics by Aristotle are also among the Greek classics known to have long made a name for themselves in China.In the eyes of Virvidakis, Chinese civilization has always been a culture that attracts people though the language is difficult. However, Chinese art, Chinese painting, Chinese poetry, especially love poems, even detective stories about China, are incredibly fascinating. Chinese director Zhang Yimou, and movies like Farewell My Concubine and Raise the Red Lantern starring Gong Li, are also very popular. Greek archaeologists who are interested in Chinese archeology want to know how China explores the past.In other art forms, the mythology and theater, ""we have tragedy, which is our own tradition. You have Chinese opera with music."" Actors and artists always want to study similarities and look at the differences, which is also the commitment of the center to promoting exchanges and mutual learning between the two civilizations and promoting the development of civilizations in various countries. China also has this appeal because people in the West think ""it's very different, it's exotic, something strange, but then they realize that it's beautiful for them."" So ""they find a lot of aspects that they have not thought about before in order to understand.""

Tiantan, a UNESCO World Heritage Site built in 1420, in Beijing Photo: VCGPhilosophy, a way of life There is a feeling among some people in the West that the Chinese system is different in some ways, said the professor. For instance,the European and American systems place great emphasis on individual rights, but China takes a more holistic approach in which ""harmony, social harmony is more important in sovereign.""""We are not exactly the same and there are also differences. But I don't believe in the so-called clash of civilizations theory that the clash is very deep and we can't live together with our differences,"" he told the Global Times. ""In fact we can live together and have peaceful exchanges. As I said, I don't think there is any danger of Greece threatening China or China occupying Greece.""In February, Virvidakis held a lecture at the center's launching ceremony, titled Philosophy is a Way of Life. Philosophy is not just theory, he said, noting that in ancient Greece and China it didn't mean just making theories about the universe, nature, god, or much of the unknown world. ""It told you how to 'organize' your life to feel happy and achieve harmony with others."" Western philosophy cannot be understood just by itself as there are also Chinese and Indian schools of philosophy among others. ""It is easier to see some similarities in ideas between Confucius and Socrates or Confucius and Aristotle,"" said Virvidakis, explaining why he is so fond of Chinese philosophy, especially Confucius thought. A simple question about what is a good life has a variety of answers in different philosophical theories.  But studying philosophy is practical and a way of life. Modern people don't just derive happiness from materialism. They need art and other emotionally stirring elements in life. In different parts and different cultures of the world,people can share similarities in emotion and sentiment.Virvidakis said that one of the most important reasons for his involving in such studies and exchanges was because ""I'm interested and I want to learn more. I'm a student too. When you are a teacher in your whole life, you're going to be a student.""",ARTS,CULTURE & LEISURE,The University of Athens Photo: VCG,"Reporter, Beijing","Global Times senior reporter, mainly covers the reporting of movies, TV, music and culture news.",43,880,<FreqDist with 16 samples and 473 outcomes>
