IN,NN,NNP,RB,VBN,JJ,VBD,NNS,MD,JJS,VBG,VBZ,VB,CD,VBP,NNPS,DT,JJR,PDT,EX,RBR,CC,WDT,RBS,FW,PRP,RP,WP$,TO,WRB,'',UH,WP,SYM,$,PRP$,POS,sentence_count,word_count
6.0,112.0,66.0,30.0,26.0,77.0,7.0,75.0,4.0,7.0,20.0,9.0,31.0,8.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,850.0
5.0,103.0,100.0,16.0,15.0,72.0,7.0,54.0,0.0,0.0,12.0,8.0,13.0,14.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,735.0
10.0,204.0,133.0,44.0,31.0,140.0,4.0,89.0,21.0,1.0,18.0,13.0,61.0,9.0,25.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1606.0
4.0,109.0,78.0,4.0,11.0,43.0,16.0,41.0,8.0,0.0,18.0,2.0,20.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,595.0
3.0,37.0,47.0,7.0,8.0,25.0,12.0,31.0,4.0,2.0,15.0,0.0,5.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,332.0
2.0,154.0,93.0,15.0,8.0,64.0,16.0,51.0,7.0,7.0,22.0,3.0,31.0,5.0,2.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,793.0
11.0,175.0,159.0,47.0,19.0,104.0,13.0,52.0,10.0,2.0,41.0,13.0,56.0,5.0,9.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1299.0
3.0,84.0,66.0,9.0,17.0,43.0,17.0,34.0,1.0,1.0,6.0,3.0,9.0,3.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,526.0
3.0,36.0,26.0,10.0,2.0,19.0,12.0,8.0,1.0,0.0,8.0,0.0,8.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,250.0
4.0,95.0,110.0,13.0,16.0,50.0,17.0,62.0,6.0,2.0,16.0,3.0,25.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,727.0
