Target,negative,neutral,positive,Overall Sentiment
Antony Blinken,0.5,0.5,0.0,negative
Benjamin Netanyahu,0.0,1.0,0.0,neutral
China,0.06300923411189571,0.4823465507876154,0.45464421510048886,neutral
EU,0.0038461538461538464,0.5230769230769231,0.47307692307692306,neutral
Gaza,0.003236245954692557,0.9870550161812298,0.009708737864077669,neutral
Hamas,0.5,0.4891304347826087,0.010869565217391304,negative
Israel,0.12332112332112333,0.8388278388278388,0.03785103785103785,neutral
Joe Biden,0.0,0.8,0.2,neutral
Middle East,0.013574660633484163,0.7782805429864253,0.2081447963800905,neutral
Palestine,0.0,0.9276859504132231,0.07231404958677685,neutral
Palestinian-Israeli Conflict,0.0,1.0,0.0,neutral
Rafah,0.0,1.0,0.0,neutral
Saudi Arabia,0.03056768558951965,0.7248908296943232,0.2445414847161572,neutral
UN,0.08342077649527807,0.6054564533053515,0.3111227701993704,neutral
US,0.15714746692481446,0.6489190061310101,0.19393352694417554,neutral
Wang Yi,0.0,1.0,0.0,neutral
West,0.021231422505307854,0.9723991507430998,0.006369426751592357,neutral
West Bank,0.0,1.0,0.0,neutral
Xi Jinping,0.0,0.19607843137254902,0.803921568627451,positive
Zhang Jun,0.0,0.0,1.0,positive
