Target,negative,neutral,positive,Overall Sentiment
Antonio Guterres,0.0,0.7777777777777778,0.2222222222222222,neutral
Antony Blinken,0.10526315789473684,0.7368421052631579,0.15789473684210525,neutral
Benjamin Netanyahu,0.23255813953488372,0.5581395348837209,0.20930232558139536,neutral
China,0.1184573002754821,0.457693821330185,0.42384887839433294,neutral
EU,0.07333333333333333,0.7773333333333333,0.14933333333333335,neutral
Gaza,0.025275437459494492,0.9637070641607258,0.01101749837977965,neutral
Hamas,0.6677685950413224,0.31239669421487604,0.019834710743801654,negative
Houthi,0.6834170854271356,0.2864321608040201,0.03015075376884422,negative
Israel,0.29200988467874794,0.6235584843492586,0.08443163097199341,neutral
Joe Biden,0.19047619047619047,0.5714285714285714,0.23809523809523808,neutral
Middle East,0.02766798418972332,0.9387351778656127,0.03359683794466403,neutral
Palestine,0.040892193308550186,0.8438661710037175,0.11524163568773234,neutral
Palestinian-Israeli Conflict,0.3763440860215054,0.6129032258064516,0.010752688172043012,neutral
Rafah,0.014814814814814815,0.9851851851851852,0.0,neutral
Saudi Arabia,0.0673076923076923,0.7403846153846154,0.19230769230769232,neutral
UN,0.08375803235098604,0.712164857079548,0.20407711056946598,neutral
US,0.20232333010648595,0.6234269119070668,0.17424975798644723,neutral
Wang Yi,0.0,0.7792207792207793,0.22077922077922077,neutral
West,0.1972318339100346,0.7058823529411765,0.09688581314878893,neutral
West Bank,0.0,1.0,0.0,neutral
Xi Jinping,0.0,0.46938775510204084,0.5306122448979592,positive
Zhang Jun,0.0,0.75,0.25,neutral
