Target,negative,neutral,positive,Overall Sentiment
Antony Blinken,0.0,0.9272727272727272,0.07272727272727272,neutral
Beijing,0.07142857142857142,0.7410714285714286,0.1875,neutral
China,0.1791936286709806,0.6012941762070682,0.21951219512195122,neutral
Cold War,0.696969696969697,0.30303030303030304,0.0,negative
Covid-19,0.384,0.544,0.072,neutral
Donald Trump,0.47058823529411764,0.35294117647058826,0.17647058823529413,negative
EU,0.05459272097053726,0.8292894280762565,0.11611785095320624,neutral
EU Council,0.0,1.0,0.0,neutral
Emmanuel Macron,0.0,0.8181818181818182,0.18181818181818182,neutral
France,0.07352941176470588,0.75,0.17647058823529413,neutral
Joe Biden,0.02857142857142857,0.5428571428571428,0.42857142857142855,neutral
Kiev,0.22012578616352202,0.5849056603773585,0.1949685534591195,neutral
Moscow,0.27586206896551724,0.6508620689655172,0.07327586206896551,neutral
NATO,0.1850828729281768,0.7002762430939227,0.11464088397790055,neutral
Russia,0.537638006022081,0.3797256607561057,0.08263633322181331,negative
UN,0.09623865110246434,0.7543450064850843,0.14941634241245136,neutral
US,0.13837579617834395,0.7598726114649682,0.1017515923566879,neutral
Ukraine,0.12486716259298619,0.8480340063761955,0.02709883103081828,neutral
Vladimir Putin,0.14453125,0.7109375,0.14453125,neutral
Volodymyr Zelensky,0.0,0.9705882352941176,0.029411764705882353,neutral
Wang Yi,0.0,0.9791666666666666,0.020833333333333332,neutral
West,0.2289156626506024,0.7180722891566265,0.05301204819277108,neutral
Xi Jinping,0.0,0.7391304347826086,0.2608695652173913,neutral
