Target,negative,neutral,positive,Overall Sentiment
Antony Blinken,0.0,0.8333333333333334,0.16666666666666666,neutral
Beijing,0.10407239819004525,0.8280542986425339,0.06787330316742081,neutral
China,0.19594594594594594,0.5372786579683131,0.2667753960857409,neutral
Cold War,0.6228571428571429,0.33714285714285713,0.04,negative
Covid-19,0.17297297297297298,0.7297297297297297,0.0972972972972973,neutral
Donald Trump,0.6666666666666666,0.16666666666666666,0.16666666666666666,negative
EU,0.06956004756242569,0.8210463733650416,0.10939357907253269,neutral
EU Council,0.0,1.0,0.0,neutral
Emmanuel Macron,0.15384615384615385,0.7692307692307693,0.07692307692307693,neutral
France,0.06741573033707865,0.8651685393258427,0.06741573033707865,neutral
Joe Biden,0.1917808219178082,0.4246575342465753,0.3835616438356164,neutral
Kiev,0.11764705882352941,0.7058823529411765,0.17647058823529413,neutral
Moscow,0.30434782608695654,0.5942028985507246,0.10144927536231885,neutral
NATO,0.23103057757644394,0.5866364665911665,0.1823329558323896,neutral
Russia,0.6110436893203883,0.3058252427184466,0.08313106796116505,negative
UN,0.09388016661326498,0.6965716116629286,0.20954822172380647,neutral
US,0.17184643510054845,0.6882388787324802,0.13991468616697136,neutral
Ukraine,0.23391812865497075,0.7200292397660819,0.046052631578947366,neutral
Vladimir Putin,0.2,0.7142857142857143,0.08571428571428572,neutral
Volodymyr Zelensky,0.041666666666666664,0.8333333333333334,0.125,neutral
Wang Yi,0.0,0.8253968253968254,0.1746031746031746,neutral
West,0.24915824915824916,0.6576879910213244,0.0931537598204265,neutral
Xi Jinping,0.0,0.3333333333333333,0.6666666666666666,positive
