Model,Sentence,Sentiment,published_time
VADER," 

People walk past destroyed buildings in the southern Gaza Strip city of Khan Younis, on March 6, 2024.",negative,2024-03-07
VADER,"The Palestinian death toll from ongoing Israeli attacks on the Gaza Strip has risen to 30,717 with 72,156 others wounded, the Hamas-run Health Ministry said in a press statement on Wednesday.(Photo:",negative,2024-03-07
VADER,"Xinhua) 



",neutral,2024-03-07
VADER,"A young man walks among the rubble of destroyed buildings in the southern Gaza Strip city of Khan Younis, on March 6, 2024.",negative,2024-03-07
VADER,"The Palestinian death toll from ongoing Israeli attacks on the Gaza Strip has risen to 30,717 with 72,156 others wounded, the Hamas-run Health Ministry said in a press statement on Wednesday.(Photo:",negative,2024-03-07
VADER,"Xinhua) 



People walk past destroyed buildings in the southern Gaza Strip city of Khan Younis, on March 6, 2024.",negative,2024-03-07
VADER,"The Palestinian death toll from ongoing Israeli attacks on the Gaza Strip has risen to 30,717 with 72,156 others wounded, the Hamas-run Health Ministry said in a press statement on Wednesday.(Photo:",negative,2024-03-07
VADER,Xinhua) ,neutral,2024-03-07
VADER,"The Palestinian death toll from ongoing Israeli attacks on the Gaza Strip has risen to 30,717 with 72,156 others wounded, the Hamas-run Health Ministry said in a press statement on Wednesday.",negative,2024-03-07
VADER,"During the last 24 hours, the Israeli army killed 86 Palestinians and wounded 113 others, it added.",negative,2024-03-07
VADER,"This brings the total death toll to 30,717 and injuries to 72,156, since the Israel-Hamas conflict broke out on Oct. 7, 2023.The statement noted that some victims remained under the rubble amid heavy bombardment and a lack of civil defense and ambulance crews.",negative,2024-03-07
VADER,"Israel has been launching a large-scale offensive against Hamas in the Gaza Strip to retaliate against a Hamas rampage through the southern Israeli border on Oct. 7, 2023, during which about 1,200 people were killed and more than 200 were taken hostage.",negative,2024-03-07
VADER," 

Children are pictured at Al-Maghazi refugee camp in central Gaza Strip, March 5, 2024.(Photo:",neutral,2024-03-07
VADER,"Xinhua) 



Children are seen playing at Al-Maghazi refugee camp in central Gaza Strip, March 5, 2024.(Photo:",positive,2024-03-07
VADER,"Xinhua) 



Children are pictured at Al-Maghazi refugee camp in central Gaza Strip, March 5, 2024.(Photo: Xinhua)",neutral,2024-03-07
VADER,"There is no distinction between noble and humble lives, and people should not be unfavorably labeled according to their race or religion.",positive,2024-03-07
VADER,"The failure to end the humanitarian disaster caused by the Palestinian-Israeli conflict today in the 21st century is a tragedy for humanity and a disgrace for civilization, said Chinese Foreign Minister Wang Yi on Thursday.",negative,2024-03-07
VADER,"Nothing justifies the protraction of the conflict, or the killing of the civilian population, Wang stressed when holding a press conference on Thursday on the sidelines of the second session of the 14th National People's Congress.",negative,2024-03-07
VADER,"The current conflict has caused more than 100,000 civilian casualties, he noted.",negative,2024-03-07
