Model,Sentence,Sentiment,published_time
VADER,"Russian President Vladimir Putin on Monday signed two decrees recognizing ""the Lugansk People's Republic (LPR)"" and ""the Donetsk People's Republic (DPR)"" as independent and sovereign states.",neutral,2022-02-23
VADER,Ukraine decided to recall its charge d'affairs in Russia and will reconsider its diplomatic relations with Russia.,neutral,2022-02-23
VADER,The sudden change in the Ukraine situation has aroused great concern around the world.,positive,2022-02-23
VADER,"In this regard, Chinese State Councilor and Foreign Minister Wang Yi said on Tuesday that the legitimate security concerns of any country must be respected, and the purposes and principles of the UN Charter must be upheld.",positive,2022-02-23
VADER,"He said China once again called on all parties to exercise restraint, appreciate the importance of implementing the principle of indivisible security, and de-escalate the situation and resolve differences through dialogue and negotiations.",positive,2022-02-23
VADER,It should be noted that it is very regrettable that the Ukrainian issue has evolved so far.,negative,2022-02-23
VADER,"The US has continued its intensive containment on Russia, which finally forced Russia to try to realize its security demands in such a way.",negative,2022-02-23
VADER,This is the outburst of the dissatisfaction of the party whose security demands have been ignored for a long time since the end of the Cold War.,negative,2022-02-23
VADER,The situation in Ukraine is deteriorating.,neutral,2022-02-23
VADER,"At this time, the international community cannot discard its efforts for peace and to avoid further escalating the situation.",positive,2022-02-23
VADER,The prospect of the situation between Russia and Ukraine remains highly uncertain.,negative,2022-02-23
VADER,The US and Western countries immediately condemned Russia's move.,negative,2022-02-23
VADER,"The White House officials said further ""coordinated"" sanctions directed at Russia would be announced on Tuesday.",neutral,2022-02-23
VADER,"UN Secretary-General António Guterres said Russia's decision is ""a violation of the territorial integrity and sovereignty of Ukraine and inconsistent with the principles of the Charter of the United Nations.""",positive,2022-02-23
VADER,"He called for addressing ""all issues peacefully.""",positive,2022-02-23
VADER,"Many countries said they should not give up diplomatic means to peacefully solve the problem and underlined that ""constructive diplomacy is the need of the hour.",positive,2022-02-23
VADER,"""The Russia-Ukraine crisis is a dual crisis, in which bilateral conflicts between Russia and Ukraine are intertwined with the strategic suppression that NATO's eastward expansion has brought to Russia.",negative,2022-02-23
VADER,All relevant parties have put forward their own security demands before.,positive,2022-02-23
VADER,"Although no consensus was reached, that doesn't necessarily mean a complete breakup of negotiations.",negative,2022-02-23
VADER,It hasn't reached the point that the issue must be solved by war.,negative,2022-02-23
VADER,Whether the situation will further escalate next mainly depends on the scale of the US sanctions imposed on Russia and whether Russia will be provoked to take more aggressive measures.,negative,2022-02-23
VADER,Peace and no war is in the biggest and common interests of all countries in the European continent.,positive,2022-02-23
VADER,"In this sense, only by achieving a soft landing for the Russia-Ukraine crisis can Europe realize peace.",negative,2022-02-23
VADER,"True security should be inalienable, common, integrated, cooperative and sustainable.",positive,2022-02-23
VADER,"This means all sides' security interests should be respected and safeguarded, and if any party's security concerns are ignored or even trampled on, geopolitical disputes will continue and never cease.",positive,2022-02-23
VADER,The knot must be untied by the one who tied it.,neutral,2022-02-23
VADER,Russia and Ukraine need to have face-to-face dialogues.,neutral,2022-02-23
VADER,The US and NATO should be pulled back from the Russia-Ukraine crisis as much as possible and there should be no more complicated elements added to influence the situation.,negative,2022-02-23
VADER,"In particular, at a time when the situation is uncertain, all sides should leave some space for Russia and Ukraine to solve the problems.",negative,2022-02-23
VADER,"Confrontation, sanctions, or even a direct battle will not help ease tensions.",negative,2022-02-23
VADER,The flames scattered in eastern Ukraine are reminding all parties of the fact that blindly imposing pressure will only lead to an escalation of conflicts.,negative,2022-02-23
VADER,"What is most needed there are restraints and rationality, as well as constructive efforts of the international community.   ",positive,2022-02-23
VADER,China has no self-interest in the Ukraine issue.,negative,2022-02-23
VADER,It has always upheld a fair and responsible attitude and will decide its own position based on the merits of the matter itself.,positive,2022-02-23
VADER,"Although all parties have different views on the Ukraine crisis, the top priority now is to avoid any actions that could intensify tensions.",negative,2022-02-23
VADER,The international community should reach such a consensus as soon as possible.,neutral,2022-02-23
VADER,The development of the Ukraine situation is the result of a series of complex factors.,neutral,2022-02-23
VADER,"Now that it has come to the brink of a cliff, all parties should work together to pull it back.",positive,2022-02-23
VADER, Ukrainian President Volodymyr Zelensky said on Tuesday that he expects no conflict with Russia.,positive,2022-02-23
VADER,"""We believe that there will be no large-scale war against Ukraine, and there won't be a wide escalation from the side of the Russian Federation,"" Zelensky said, adding that Kiev stands ready to impose a martial law if there is aggression against Ukraine.",neutral,2022-02-23
VADER,"Earlier in the day, Zelensky said that he was weighing a request from the foreign ministry to sever diplomatic ties with Russia.",neutral,2022-02-23
VADER,"Russian President Vladimir Putin on Monday signed two decrees recognizing ""the Lugansk People's Republic (LPR)"" and ""the Donetsk People's Republic (DPR)"" as independent and sovereign states.",neutral,2022-02-23
VADER,"At a ceremony held in the Kremlin, Putin also inked the treaty of friendship, cooperation and mutual assistance between Russia and the LPR and the DPR respectively with the heads of the two ""republics,"" a Kremlin statement said.",positive,2022-02-23
VADER, British Prime Minister Boris Johnson announced on Tuesday a range of sanctions against Russia in response to the latest development in Ukraine.,neutral,2022-02-23
VADER,"Johnson told the House of Commons that Russian President Vladimir Putin had violated the Minsk agreements by recognizing the ""Lugansk People's Republic"" and the ""Donetsk People's Republic"" as independent and sovereign states.",negative,2022-02-23
VADER,"Announcing the sanctions, Johnson said that Britain would sanction five Russian banks and three very high net worth individuals.",positive,2022-02-23
VADER,"""Any assets they hold in the UK will be frozen, the individuals concerned will be banned from traveling here, and we will prohibit all UK individuals and entities from having any dealings with them,"" he said, adding that this is the ""first tranche, the first barrage, of what we are prepared to do alongside the United States and the European Union if the situation escalates still further.",positive,2022-02-23
VADER,"""Russia has vowed to retaliate if new sanctions are imposed.",negative,2022-02-23
VADER,"Putin said on Monday he was aware that the West was trying to ""blackmail"" Russia again with sanctions, but said he believed that sanctions would continue just because Russia exists, regardless of the situation in Ukraine.",neutral,2022-02-23
VADER,Johnson said Britain would not give up on seeking a diplomatic resolution to the situation in Ukraine.,neutral,2022-02-23
VADER," The chief of the North Atlantic Treaty Organization (NATO) has urged Russia to ""choose the path of diplomacy"" in the conflict with Ukraine.",negative,2022-02-23
VADER,"""This is the most dangerous moment in European security for a generation,"" NATO Secretary General Jens Stoltenberg said at the conclusion of an extraordinary meeting of the NATO-Ukraine Commission here on Tuesday.",negative,2022-02-23
VADER,"""Europe and North America continue to stand strong together in NATO, committed to defend and protect each other,"" he said.",positive,2022-02-23
VADER,He said NATO put its Response Force on higher readiness several weeks ago and has 100 jets on high alert and 120 ships at sea.,positive,2022-02-23
VADER,"However, he stressed that it was not late to choose the path of diplomacy rather than attack as he called on Russia to engage in talks to find a political solution to the conflict.",negative,2022-02-23
VADER,He welcomed the economic sanctions announced by many NATO allies and the decision by the German government that it cannot certify the Nord Stream 2 pipeline.,positive,2022-02-23
VADER,Stoltenberg also said that Russian forces continue to prepare for a potential attack on Ukraine after Moscow recognized two separatist regions as independent.,negative,2022-02-23
VADER,"Russian President Vladimir Putin on Monday signed two decrees recognizing the ""Lugansk People's Republic (LPR)"" and the ""Donetsk People's Republic (DPR)"" as independent and sovereign states.",neutral,2022-02-23
VADER,"The European security crisis was caused by NATO's eastward expansion, which has led to the loss of mutual trust, Putin said on Monday.",negative,2022-02-23
VADER,"He said it was just for NATO to accept Ukraine as a member state and then build facilities on its territory, which would dramatically raise the level of military threats to Russia.",negative,2022-02-23
VADER," The European Union (EU) is ready to take further action against Russia if it continues to escalate the crisis, European Commission President Ursula von der Leyen warned here on Tuesday.",negative,2022-02-23
VADER,"In a statement, von der Leyen said EU member states had given their political consent to a new package of sanctions against Russia following its recognition of the independence of the Ukrainian regions of Donetsk and Luhansk.",positive,2022-02-23
